,corpus,have_transition_plan
52,worked happy city establish seven core principles guide placemaking activities.,False
53,launched 2030 sustainability strategy commitment net zero 2030.,False
54,introduced internal carbon levy 60 tonne embodied carbon developments.,False
55,launched transition vehicle fund energy efficient improvements.,False
56,our bright lights skills employment programme science based targets initiative validated carbon reduction targets.,False
57,our net zero pathway* sets ways reduce carbon emissions.,False
58,we offset embodied carbon developments 2030 offset operational carbon.,False
59,overview overview our 2030 commitments net zero carbon environmental leadership place based approach we committed achieving net zero carbon portfolio 2030 set clear targets reduce embodied carbon developments operational carbon portfolio.,False
60,we demonstrate strong progress delivering participating leading international benchmarks.,False
61,our target achieve 5* gresb rating 2022 pleased achieved years ahead target.,False
62,top 81st percentile science based targets: approval 2021 our place based approach means understanding important issues opportunities communities places focusing efforts collaboratively biggest impact place.,False
63,"to deliver this, work directly community partners collaborate customers identify key local issues impact.",False
64,"connect: connecting customers, suppliers community partners priority local issues opportunities.",False
65,"our community funds broadgate, paddington regents place example approach education: needs-based initiatives places working long term partner national literacy trust employment: needs-based initiatives places.",False
66,"recent focus supporting impacted covid 19, example virtual employment training supporting local business: supporting local business provision affordable workspace, thrive canada water wellbeing: putting wellbeing principles practice, year included new park exchange square, broadgate.",False
67,responsible business we advocate responsible business practices british land supply chain.,False
68,our key areas focus set below.,False
69,"proportion units epcs rated a b assets under management 2030 target 5-star 2022 100% 50% 2025 5% reduction operational water consumption vs 2020 operational waste managed assets re-used, composted, recycled development operational waste diverted landfill new construction major renovation projects designed achieve 10% net gain biodiversity % managed assets biodiversity action plans % managed assets major developments undergone flood risk assessment 5% offices: 80% retail: 70% 100% 100% 100% 1.",False
70,"from 2021, 2030 strategy upgraded breeam targets outstanding offices (from excellent) excellent retail (from very good) 2.",False
71,"excludes residential fy22 performance 5-star 70% 44% 28% 36% 13% offices: 76% retail: 48% 96% on track 15% 100% 2021 5-star 73% 27% 25% 24% 20% 71% 47% 100% nr 18% 100% 2020 4-star 24% 21% 25% 72% 54% 99% nr nr 100% breeam certifications to date, pursued breeam certificates 44% standing portfolio.",False
72,"while target best-in-class certifications new developments major refurbishments, majority portfolio built prior bre certification schemes route certifying assets operational certifications, primarily breeam in use.",False
73,we currently pursuing multi-stage rollout breeam in use certifications including first-time pilots retail assets.,False
74,"likewise, committed near term developments complete, entry standing portfolio increase proportion highly-rated assets.",False
75,"following socio-economic assessments, business plans created sites fy23 priorities report social value generated develop social value target 5 year target to reported fy23 place based initiatives identified priority assets.",False
76,we use priority assets tables pages 21-23 report progress this.,False
77,overview net zero carbon net zero carbon we committed achieving net zero carbon portfolio 2030 set clear targets reduce embodied carbon developments operational carbon portfolio.,False
78,we long track record delivering sustainable space clear competitive advantage business customers prioritise sustainability.,False
79,overview net zero carbon net zero delivering pathway last year set pathway net zero.,False
80,we delivered commitments year advanced coming year.,False
81,"overview net zero carbon blossom yard & studios, norton folgate net zero carbon reducing embodied carbon developments to progress target 500 co2e sqm embodied carbon office developments 2030, committed undertaking life carbon assessments developments major refurbishments.",False
82,"to this, adopted one click lca life cycle assessment software developments.",False
83,"this enables consolidate data consultants, benchmark performance monitor progress.",False
84,"this helping identify designs, materials techniques generate significant carbon savings.",False
85,norton folgate case study we focus reusing existing materials structures far possible.,False
86,"at blossom studios, buildings norton folgate development retained existing faade 80% floors, timber joists individually assessed re-used.",False
87,we rebuilt internal walls re-using reclaimed bricks original building retained original features iron columns glazed bricks preserve original character building.,False
88,new materials focused responsibly sourced low carbon alternatives; 100% fsc (forest stewardship council) wood concrete 40% cement replacement.,False
89,"as result currently expect embodied carbon 403 co2e sqm (434 co2e sqm redevelopment), ahead 2030 target.",False
90,"to drive operational performance adding roof solar panels air source heat pumps deliver electric offices 100% green power, operational energy intensity expected line trajectory 2030.",False
91,"overview net zero carbon reducing embodied carbon developments continued canada water case study unlike norton folgate, greater capacity reuse existing materials, canada water ground redevelopment.",False
92,"this means minimise embodied carbon emissions, focus piloting sustainable materials processes.",False
93,"at a1, mixed use building includes 186 residential units 120,000 sq ft workspace, sustainable materials superstructure.",False
94,"this includes ggbs (ground granulated blast-furnace slag), waste product blast furnaces iron repurposed cement replacement.",False
95,"we post tensioned concrete slabs stronger thinner, requiring concrete, cross laminated timber reducing number steel beams required electric arc furnace steel.",False
96,these innovations line commitment pilot low carbon materials net zero pathway.,False
97,"our current projections embodied carbon 682 co2e sqm 2030 target 500kg co2e sqm, glidepath 2030.",False
98,well gold certifications targeted outdoor space offsetting strategy we prioritise re-use existing materials minimise embodied carbon far possible.,False
99,"where residual embodied carbon avoided design material choice, offset certified emission reduction projects.",False
100,"we use nature based offset credits possible, select projects support biodiversity economic benefits local communities.",False
101,"project works closely local farmers, employed project able grow crops.",False
102,"aim expand 1,000 hectares year.",False
103,"supporting planting 23,000 trees woodland carbon code.",False
104,this additional commitment formal offset 1 triton square.,False
105,overview net zero carbon reducing operational carbon the chart sets key opportunities reduce carbon emissions portfolio coming years.,False
106,on standing portfolio focus renewable power energy saving initiatives buildings.,False
107,"renewable power (grid, onsite offsite) residual emissons offset 2030 2030 energy saving initiatives new developments present greatest opportunity deliver best class buildings operationally, highly energy efficient.",False
108,"the chart illustrates improvement 1 broadgate, energy intensity sixth previous building.",False
109,"relatively recent developments, 4 kingdom street, efficient portfolio thoughtful asset management deliver significant improvement relatively low cost.",False
110,"in case, key intervention heat pump accounting 70% retrofit cost, altogether represents 1% buildings value.",False
111,older buildings broadgate tower require comprehensive retrofitting.,False
112,this year completed 29 net zero audits buildings portfolio identifying initiatives deliver 25% improvement building energy efficiency.,False
113,a case study exchange house shown page.,False
114,"indicative view assumes developments built development pipeline excludes capital activity we offset residual embodied carbon developments 2030, offset operational carbon standing portfolio seek minimise far possible following ways.",False
115,the decarbonisation national grid play key role switch renewable power uk.,False
116,we supplement investing onsite offsite renewable energy sources.,False
117,already 2 mega watts capacity portfolio (of half meadowhall) undertaking feasibility studies identify opportunities rooftop solar car port possibilities.,False
118,detailed studies underway retail sites car park meadowhall shopping centre.,False
119,we exploring opportunities offsite renewables increase relative contribution renewable power overall pathway.,False
120,"overview net zero carbon reducing operational carbon continued increasing energy efficiency standing portfolio this year, party consultants completed net zero audits covering 29 major assets.",False
121,"these identified initiatives standing portfolio, actioned deliver 25% improvement building energy efficiency line target.",False
122,"some initiatives delivered, reducing energy use 23% saving occupiers 340,000 annually.",False
123,one effective interventions delivered introducing co2 controls; sensors installed office floors enabling monitor fresh air levels adjust ventilation needed.,False
124,this relatively low cost measure significantly cut demand heating cooling.,False
125,"we installing dedicated chillers hours cooling, reducing requirement run main chillers intensive.",False
126,the significant interventions led lighting heat pumps.,False
127,the improvements deliver savings payback investment 5 years expect two-thirds cost funded service charge covered directly occupiers.,False
128,"these interventions improve buildings epc rating b e, making building fully compliant expected mees legislation.",False
129,overview place based approach our place based approach a place based approach means understanding important issues opportunities communities places focusing efforts collaboratively biggest impact.,False
130,"overview place based approach place based approach social impact we invest directly local community organisations, support range ways, including use space work occupiers deliver positive social impact areas focus.",False
131,"our local charter focuses key areas create lasting positive legacy work, shop live places.",False
132,"connect we connect local communities bringing customers, suppliers community partners common goal place.",False
133,connecting customers community partners strongest social contributions.,False
134,"following success regents place community fund, year worked customers launch funds broadgate paddington central.",False
135,"together, agree priority local themes, pledge funds award grants community organisations working locally.",False
136,"in year, 15 customers local stakeholders pledged 150,000 broadgate paddington central community funds.",False
137,"we support educational initiatives local people helping discover potential, developing skills raising awareness career opportunities sectors.",False
138,"this year, delivered 58 education initiatives.",False
139,these ranged primary school projects secondary school workshops college events university challenges.,False
140,"we continued partnership national literacy trust 29 places, working collaboratively customers local schools encourage additional 7,800 children read pleasure improve literacy skills.",False
141,"together, reached 56,000 children partnership began.",False
142,"employment we support local training jobs bright lights, skills employment programme, working customers, suppliers local partners.",False
143,"recognising impact covid-19 emerging cost living crisis, refocused bright lights support affected, including individuals lost livelihoods.",False
144,these initiatives run portfolio.,False
145,we reached 135 people virtual employment training one-to-one support designed local residents skills achieve lasting employment.,False
146,the programme included ringfenced opportunities businesses places.,False
147,"on average 60% candidates gained employment, range sectors glasgow fort rises 75%.",False
148,"supporting local business = affordable space we support local businesses opening opportunities local independents, social enterprises start-ups support future success.",False
149,we provided affordable space priority assets identified opportunities remaining three.,False
150,"this includes affordable work space, affordable retail space community arts space.",False
151,"following success new diorama theatre (ndt) regents place, launched ndt broadgate support recovery arts post-pandemic.",False
152,"the project kind world, ndt broadgate attracted footfall 80,000 creatives, engaged 600,000 people supported creation highly successful productions.",False
153,new diorama theatre regents place won the stages fringe theatre year 2022 award.,False
154,"we create places support health wellbeing customers, colleagues communities.",False
155,"we develop partnerships communities support wellbeing people work, visit live places.",False
156,"in 2022 range wellbeing initiatives, community partners darnall united global generation, supported 2,700 beneficiaries.",False
157,"we track achieve well platinum, 1 broadgate, highest level certification globally-recognised benchmark health wellbeing.",False
158,"working closely occupier jll architect ahmm, targeting industry leading standards air quality, water light.",False
159,we continue align developments well standard.,False
160,"our office developments canada water, a1 a2, well-ready.",False
161,this pre-certification supports delivering outstanding workspaces customers opens opportunity customers partner pursuing well certification employee health wellbeing.,False
162,our social reporting subsequent pages focuses priority assets details specific activities 2022 commitments 2023.,False
163,"however, place based approach goes far assets programmes delivered portfolio.",False
164,"the reach biggest community initiatives, partnership the national literacy trust bright lights employment initiative seen map.",False
165,"supporting ukraine to support affected war ukraine donated 25,000 disaster emergency committee included matching personal donations people.",False
166,"we donated 5,000 ukrainian cathedral marylebone, close head office.",False
167,"at paddington central, pledged 30,000 funding scheme support ukrainian institute setting english language school refugees donated space host classrooms storey club.",False
168,"at number assets, rolled specific qr codes enable people donations british red cross easily.",False
169,cost living crisis during fy23 collaborating long term partners support excellent work help struggling cost living crisis.,False
170,our bright lights initiatives focus activities affected.,False
171,"overview place based approach delivering place based working local partners, focusing core theme asset, biggest social impact.",False
172,we appreciate respect british land do.,False
173,"they long term vision that, like weve brought subsoil wonderful conversation place comes together.",False
174,"jane riddiford, global generation canada water at canada water, partnership environmental education charity global generation continues grow.",False
175,"this year, global generation engaged 600 local primary schoolchildren workshops worked generator youth leaders.",False
176,"constructed circular economy principles, new facility provide fantastic community resource years come.",False
177,"paddington central at paddington central, connecting customers local partners inclusive opportunities year launched new community fund collaboration occupiers partner address key local issues.",False
178,"in april 2021, unveiled community garden, supported occupiers wipro kingfisher.",False
179,"local schoolchildren visitors garden year, customers volunteered 300 people took workshops gardening food growing urban farming experts, square mile farms.",False
180,"customers volunteered 60 hours help adults learning disabilities run fruit smoothie stall campus, partnership local non-profit pursuing independent paths.",False
181,"representatives businesses campus continue connect diversity inclusion network, activities year including session activist, ted speaker author nova reid mark black history month.",False
182,"overview place based approach our place based approach action education supporting local business = affordable space wellbeing broadgate at broadgate, partnering open access educational opportunities age spectrum primary school university.",False
183,"this year alone, engaged 47 schoolchildren local broadgate collaboration national literacy trust customers.",False
184,a 9 local students completed virtual work experience programme.,False
185,"our partnership university east london continued grow, students worked collaboratively designs campus broadgate prize.",False
186,"canada water at canada water, continue partner tree shepherd deliver thrive, affordable workspace business support entrepreneurs, prioritising se16 residents.",False
187,"through project, aim create self-sustaining local business network, growing pipeline successful enterprises future opportunities canada water.",False
188,"this year, supported 72 entrepreneurs business advice gone set businesses self-employed.",False
189,"we provided low-cost workspace, including offices, meeting rooms makerspace.",False
190,british land authentically supports people community.,False
191,"together, working create place local people run businesses supported successful.",False
192,its people place meaningful.,False
193,"sandra ferguson, tree shepherd regents place at regents place, providing 10,000 sq ft affordable workspace 1 triton square donated space triton caf community uses.",False
194,this included meeting space local non-profit camden giving occupier new diorama theatre.,False
195,"we provided space blackout uk run monthly events months supported peer learning, debates, networking meaningful connections 75 black queer men.",False
196,"there tens thousands plants, including native species flowering varieties good bees, butterflies insects.",False
197,mature birch trees offer homes birds.,False
198,"this enhance biodiversity open access nature, studies boosts wellbeing productivity.",False
199,"the park valuable community space, designed accessibility.",False
200,"we host events customers local people, including talks gardening led head gardener.",False
201,"to help create network green spaces wildlife central london, working roof gardens exchange house nearby 1 appold street.",False
202,"what nature loves things mixture change, thats mirrored environments planting exchange square.",False
203,british land exceptionally supportive taking different approach urban planting.,False
204,the reason recruitment skills partnership works theres real family feel fort kinnaird.,False
205,"at fort kinnaird, strong relationship capital city partnership enabled respond rapidly retailers communities faced shifts covid sudden recruitment needs.",False
206,"together, supported nearly 90 people jobs year delivered employability sessions 130 young people.",False
207,"as developing confidence skills candidates face barriers employment, capital city partnership site day, retailers know vulnerable candidates network resources draw on.",False
208,"as focus providing affordable retail space ealing broadway worked opportunity curated collective, family business supports independent artists makers.",False
209,the team identified unit good location supportive terms.,False
210,curative collective able use pre-existing shop fit avoid extra costs.,False
211,"i thank andrew, ealing broadway team british land getting placemaking initiative supportive.",False
212,weve able work 25 local creative partners.,False
213,people ealing love able interact people items buying.,False
214,weve gone market stall thinking year leases support british land.,False
215,overview responsible business responsible business we advocate responsible business practices british land supply chain.,False
216,"our key areas focus responsible employment, diversity, equality & inclusion responsible procurement.",False
217,our people competitive advantage.,False
218,we invest seek create environment achieve potential.,False
219,we apply approach supply chain.,False
220,overview responsible business responsible business we advocate responsible business practices british land supply chain.,False
221,our key areas focus set here.,False
222,responsible employment invest people we recognise importance growing talent internally.,False
223,"this year, invested 440,000 training qualifications people (380,000 fy21), developing leadership talent business.",False
224,"employees completed 7,000 hours training supporting 14 colleagues gain professional qualifications.",False
225,"to support career development run internal mentorship scheme, includes senior leaders partner circl coaching, pairing people local students, growing coaching culture supporting local talent.",False
226,"connect people we ran in-depth employee engagement survey early 2022, completed 87% people.",False
227,"topics included leadership, engagement, learning development, social connection wellbeing, diversity equality & inclusion (de&i), response covid.",False
228,our overall engagement score 69%.,False
229,some positive messages emerged 90% staff reporting proud work british land 85% confirming recommend british land great place work.,False
230,the survey highlighted areas improvement ambition increase overall engagement score.,False
231,"to this, leadership teams having detailed sessions departments working collaboratively teams create action plan addressing key points raised.",False
232,provide safe working environment we maintained excellent standards health safety ensure people places safe.,False
233,our health safety management accredited international iso standard accident frequency rates remain substantially national average.,False
234,"families need flexibility, opportunities equal.",False
235,thats british land offers months shared parental leave pay.,False
236,"they support employees live lives careers ways work us, reflecting modern lifestyles benefits.",False
237,"michael olivia head planning (michael), team assistant (olivia) diversity, equality & inclusion in early 2022 launched diversity, equality & inclusion strategy, approved csr committee.",False
238,"aligned united nations sustainable development goals, sets commitments improve diversity, equality inclusivity business 2030, ensuring reflect understand people work, shop, live spend time places.",False
239,"all employee feedback channels, including exit interviews engagement surveys, include diversity demographics help understand employees different backgrounds, ethnicities experiences encounter challenges, improve.",False
240,"to attract diverse workforce, ensure hiring managers complete anti-bias training receive blind cvs selection interview stage removed ethnicity gender indicators.",False
241,we work agencies bame recruitment london works reach candidates varied backgrounds.,False
242,"we taken lead role 10,000 black interns initiative, real estate sector chair, continue support change 100 programme, offering paid internships university students recent graduates disabilities long-term conditions.",False
243,"our employee-led networks continue drive progress diversity, equality inclusion.",False
244,"these include ability network enable, reach (race ethnicity celebrating heritage), parents & carers, pride womens network, recently rebranded equitable.",False
245,"overview responsible business nextgen, represent support generation property professionals.",False
246,"improve gender diversity levels in 2022, exceeded commitment maintain minimum 35% female representation board, 36% women board 37% senior management female.",False
247,"improve ethnic diversity levels we fulfilled commitment maintain minimum directors ethnic minority background, ahead parker review recommendations ethnic diversity board level.",False
248,this reduction ahead target reduce pay gap 2% year year.,False
249,responsible procurement a strong relationship suppliers plays key role successful delivery strategy governed supplier code conduct.,False
250,"this sets clear social, ethical environmental obligations supply chain promotes safe fair working conditions.",False
251,compliance mandatory suppliers.,False
252,we pay real living wage british land employees strongly encourage suppliers pay uk employees real living wage.,False
253,our london campuses accredited living wage places comply mayors good work standard.,False
254,our slavery human trafficking statement website governance/modern-slavery-act mandating prompt payment paying suppliers partners promptly agreed payment terms ethical responsibility economically beneficial parties wider economy.,False
255,we signatory uk governments prompt payment code 2010 aim pay 95% suppliers 30 days.,False
256,group invoices settled 18 days average.,False
257,"responsible procurement standards this year, introduced contractor framework, identifying key sustainability performance indicators monitor new contractors employed asset management initiatives.",False
258,we launched supplier excellence awards celebrate showcase best suppliers contributions range categories including responsible business.,False
259,active modern slavery we uphold human rights employees supply chain.,False
260,"this year, provided anti-modern slavery training employees.",False
261,"through partnership anti-modern slavery charity unseen, undertook independent audits 10 suppliers operating higher risk areas (with 11 scheduled), reviewing compliance 12 key areas supplier code conduct.",False
262,"these included human rights, health safety, equal opportunities, fair reward, working hours, staff development worker representation.",False
263,"informed risk impact assessments, audits prioritised property management service providers assets construction contractors developments.",False
264,all suppliers scored 77% working suppliers improvement opportunities identified agreed.,False
265,"we continue member unseens business helpline portal, allows people report potential modern slavery occurrence anonymously.",False
266,our supplier excellence awards we delighted recognised british land supplier awards felt rewarding recognised clients way.,False
267,i confirm having fm industry 12 years i havent seen client approach service partner recognition trailblazing springs mind.,False
268,overview british land sustainability accounts 2022 net zero carbon carbon emissions fig.,False
269,please pages 85-87 assurance reports korn ferry (paygap data)and dnv.,False
270,"sbti, net zero targets greenhouse gas intensity for second consecutive year, covid-19 related government restrictions significantly affected portfolios carbon intensity, representing majority reduction.",False
271,"however, delivered initiatives enhance energy efficiency year, notably exchange house (see p6).",False
272,overview carbon emissions (continued) fig.,False
273,the embodied emissions offset project achieves practical completion.,False
274,"until uk government specifies long-term strategy low-carbon heating (including role hydrogen all-electric buildings), y include use renewable bio-gas.",False
275,office a1 units electric.,False
276,exploring electric option targeting <80.,False
277,n/a project undertaken nabers accreditation.,False
278,tbc data available future years projects progress fig.,False
279,overview carbon emissions (continued) fig.,False
280,overview carbon emissions (continued) fig.,False
281,"in 2021/22, estimated energy consumption retail units assumes regular operations.",False
282,"this significant rise vs year, assumed 50% operation retail units.",False
283,this years totals include embodied carbon 1 triton square following practical completion.,False
284,location based: our use 2021 uk greenhouse gas conversion factors reflect +3% increase ghg intensity gas (vs 2020) +1% increase ghg intensity electricity (vs 2020).,False
285,overview carbon emissions (continued) fig.,False
286,overview carbon emissions (continued) fig.,False
287,"while proportion renewable gas rose 85% year, renewable power dropped 93%.",False
288,this reduced year primarily impact onboarding new assets time transfer assets renewable tariff.,False
289,overview carbon emissions (continued) fig.,False
290,overview carbon emissions (continued) fig.,False
291,"retail: direct use retail units (occupier procured) fri non-landlord obtained energy non-bl managed assets upstream emissions landlord obtained water use indirect value chain greenhouse gas emissions in 2021/22, estimated energy consumption retail units assumes regular operations.",False
292,"this significant rise vs year, assumed 50% operation retail units.",False
293,this years totals include embodied carbon 1 triton square following practical completion.,False
294,overview carbon emissions (continued) fig.,False
295,fig.,False
296,"however, delivered initiatives enhance energy efficiency year, notably exchange house (see p16).",False
297,other energy intensity measures group occupied floors kwh sqm * common parts baseline.,False
298,overview carbon emissions (continued) fig.,False
299,the committed development figures provisional amounts adjusted differ completed values.,False
300,these figures proportionally disclosed share.,False
301,this figure excludes funds allocated offsets funds invested projects improve energy efficiency.,False
302,"investment year included chiller replacement broadwalk house total capex 552,000.",False
303,"this expected deliver annual cost savings 65,000 repaid service charge.",False
304,our net zero energy auditsassessed major assets representing 90% landlord procured power.,False
305,overview energy use fig.,False
306,"renewable non-renewable purchased purchased managed portfolio offices: common parts offices: shared services offices: direct use occupier space sub-total retail: common parts retail: direct use occupier space (landlord procured) residential: common parts scope (managed properties) corporate group offices overall total proportion purchased electricity renewable sources proportion total electricity renewable sources 110 110 1,150 18,635 20,283 59,974 98,891 14,351 2,584 2,958 999 3,793 7,749 547 300 570 21,703 21,282 63,766 106,751 16,047 2,883 570 109/111 49 49 1,210 20,148 16,375 66,178 102,701 14,722 2 947 821 891 279 332 1,502 196 93 1,084 21,087 16,654 66,510 104,252 16,129 1,040 1,087 108/112 821 46 46 1,274 24 22,618 17,838 83,496 123,952 18,151 1,827 143 240 3,216 3,599 661 16 984 22,808 18,078 86,712 127,598 20,086 1,843 1,008 102/106 971 971 1,260 116,535 9,166 126,960 1,261 119,192 2,875 123,328 1,344 144,901 5,259 151,504 93% 93% 98% 98% 96% 97% total electricity consumption this year, proportion renewable power dropped 93%.",False
307,this reduction year primarily impact onboarding new assets time transfer assets renewable tariff.,False
308,overview energy use (continued) fig.,False
309,managed portfolio offices: common parts offices: shared services offices: direct use occupier space sub-total retail: common parts retail: direct use occupier space (landlord procured) residential: common parts sub-total all property types: on-site vehicles fuel consumption service providers on-site vehicles equipment corporate group offices overall total proportion purchased fuel renewable sources proportion total fuel renewable sources fig.,False
310,overview energy use (continued) fig.,False
311,"managed portfolio offices: common parts offices: shared services offices: direct use occupier space sub-total retail: common parts retail: direct use occupier space residential: common parts all property types: on-site vehicles fuel consumption service providers on-site vehicles equipment all property types: district heating cooling sub-total corporate group offices overall total proportion purchased energy renewable sources proportion total energy renewable sources solar pv (including energy exported grid) chp (electricity generated) chp (heat generated) total generated proportion energy use common parts andsharedservices proportion energy use total energy consumed generated site this year, 90% landlord procured energy renewable sources.",False
312,"while proportion renewable gas rose 85% year, renewable power dropped 93%.",False
313,this reduced year primarily impact onboarding new assets time transfer assets renewable tariff.,False
314,overview environmental leadership building certifications fig.,False
315,the revolving credit facility kpis exclude residential properties.,False
316,"despite disposal breeam-rated assets recent years, overall proportion breeam certified assets continues rise.",False
317,"likewise, 10 exchange square completed assessment year, breeam in use rating very good.",False
318,"this year, piloted breeam in use (part 2) assessments number retail sites.",False
319,"as traditionally procured energy water behalf retail occupiers, understood upfront lack unit consumption data limit assessment rating pass.",False
320,"however, process served useful benchmark alignment breeams management criteria incentivises prioritise collection retailer consumption data, enable significantly improve ratings future.",False
321,overview building certifications (continued) fig.,False
322,we expect total cost retrofitting portfolio region 100m two-thirds funded service charge customers directly.,False
323,these typically low cost interventions attractive payback period support occupiers achieving sustainability ambitions.,False
324,overview water use fig.,False
325,fig.,False
326,"at retail, water consumption returned familiar levels 2021/22, following significant increase previous year leak nugent shopping park.",False
327,overview water use (continued) fig.,False
328,overview overview waste materials fig.,False
329,overview waste materials (continued) fig.,False
330,overview waste materials (continued) fig.,False
331,assurance excludes waste diverted landfill re-use site landfilled tax costs ().,False
332,fig.,False
333,"proportion sustainable sources 2020 58% 2021 88% 12% 100% 34/36 42% 100% 49/52 2022 56% 39% 95% 35/36 waste management developments during excavation works canada water projects, discovered soil contained historic land contamination, whilst classified hazardous waste, unsuitable repurposing existing ground conditions.",False
334,"the team reviewed options including cleaning soil, onsite attendance dedicated waste supplier groundworks programme test segregate soil, possible landfill site capping/topper.",False
335,"despite efforts, sizable proportion sent landfill.",False
336,"sustainable timber at refurbishment exchange house, existing raised access floors poor condition; instead replacing brand new floors, opted install reclaimed tiles supplier takes raised floor tiles, tests provides new warranties.",False
337,"whilst originally fsc certified, flooring supplier purchased hold fsc certification, breaking chain custody certification.",False
338,chain custody important choosing report non-certified.,False
339,"installing reclaimed tiles keeps good quality materials circulation, saves virgin materials carbon emissions.",False
340,overview waste materials (continued) fig.,False
341,the non-compliance incident reported happened broadgate campus excavator strike occurred gas pipe utility diversion works 1 broadgate.,False
342,"as precautionary measure, surrounding area evacuated london fire brigade, assisted onsite team campus staff, established gas dispersed pose risk neighbouring buildings.",False
343,"the pipe quickly repaired cadent changes method statements implemented contractor, following review lessons learnt.",False
344,overview biodiversity fig.,False
345,fig.,False
346,overview community fig.,False
347,fig.,False
348,"we work partnership customers, suppliers local partners develop skills local people empower access opportunities places supply chain.",False
349,"initiatives include pre-employment training, virtual programmes, mentoring, work placements, graduate schemes, internships, apprenticeships job fairs.",False
350,overview contributions investment fig.,False
351,"key supplier workforce (and british land employees outside working hours) time total beneficiaries total individuals directly benefitting community investment programme 2022 1,813,909 58,833 56,720 1,929,462 635,904 159,732 795,636 direct community investment () 2020 1,619,646 313,612 238,804 2,172,062 2021 1,475,171 102,474 53,509 1,631,154 170,367 973,188 29,663 200,030 84,547 1,057,735 23,949 23,024 40,076 long term space value space provided community organisations 2,861,454 nr nr volunteering fig.",False
352,community investment for year reporting value space provide community organisations.,False
353,this value reflects cost organisations bear space provided british land.,False
354,fig.,False
