words,GT,category
"At COP24, held in 2018, parties agreed on concrete guidelines to achieve the goals of the Paris Agreement, namely, to peak-out global greenhouse gas (GHG) emissions as early as possible and to strike a balance between GHG emissions from human activity and carbon absorption by nature by the second half of this century.",0,auto
"In addition, the employee recommendation and H-Recruiter systems are enhancing our ability to recruit externally in areas which require targeted strengthening to ensure future competitiveness.",0,auto
"The level of supplier sustainability compliance based on self-assessments and on-site audits are shared within FCA Purchasing and are reported on the Global External Balanced Scorecard, which provides standardized supplier metrics across all FCA regions.",0,auto
The decision making process which allows capital investments in carbon reduction projects takes carbon price into account as well as the alignment with the decarbonization goals.,0,auto
"With our measures along the supply chain we want to contribute towards fulfilling the UN Sustainable Develop-ment Goals (SDGs) 8 (Decent work and economic growth), 10 (Reduced inequalities), 12 (Responsible consumption and production) and 13 (Climate action).",0,auto
"To provide stakeholders a comprehensive picture of FCA activities, results and commitments in the economic, environmental and social spheres this edition marks the adoption, for the first time, of additional frameworks such as the Sustainability Accounting Standards Board (SASB) and the ISO .",0,auto
Stellantis has access to a wide range of information and data from RMI that supports our efforts to ensure that sustainability standards are implemented by smelters and the mining industry.,0,auto
Our work will drive the low-carbon transfor-mation of the nations automotive industry and help fulfil Chinas carbon neutrality commitment.,0,auto
"Another component in our push for sustainability is an expanded scope of parts-returns and reman-ufacturing, and further upgraded core tracing features for reverse logistics systems and improved overall parts-manufacturing capability.",0,auto
"APPENDICES 2019 Sustainability Report Evaluation and Compensation of the BOD A BOD evaluation is conducted by the outside directors at the end of each year, the results of which are reflected in the BOD operations in order to boost efficiency.",0,auto
"In addition, the following also obtained Carbon Neutral certifications in Brazil: Campo Largo and Betim engine plants; component plant in Jaboato dos Guararapes; and part distribution centers in Betim and Hortolndia.",0,auto
We are aiming to achieve carbon neutrality by 2050 with Scope 1 and 2 emissions.,0,auto
"Contents CEO Message CSO Message Corporate Purpose / ESG Highlights Sustainability at Nissan Nissan's Contribution Nissan's Contribution to the SDGs to the SDGs The Alliance Environmental Social Governance ESG Data Editorial Policy GRI Content Index Quick Guide For Investors NISSAN(cid:96)S CONTRIBUTION TO THE SUSTAINABLE DEVELOPMENT GOALS GRI102-12 With the world population expected to reach nine billion by 2050, societies are facing a range of issues, such as climate change, poverty and ongoing urbanization.",0,auto
"The first category is transition risks, which are related to the transition to a lower-carbon economy with extensive policy, legal, technology, reputation and market changes to address mitigation and adaptation requirements re-lated to climate change.",0,auto
"We aim to earn customers for life, which ensures the long-term sustainability of our business in a competitive and changing marketplace.",0,auto
"By 2025, Stellantis will use 50% of electricity coming from renewable or decarbonized sources.",0,auto
"This 9-member management-level group meets every month and is tasked with ensuring trans-parency and common understanding on overall sustainabil-ity progress, synergising resources across departments to accelerate implementation, and sharing external insights, trends, and best practices to drive sustainability innovation.",1,auto
Due diligence processes: Taking changes in urban mobility patterns into account at an early stage The BMW Group has pooled the issue of changes in mobility systems in its corporate strategy and analysed the result-ing opportunities and challenges together with the issues of sustainability.,0,auto
Risks related to the sustainability of our operations.,0,auto
Release of the BMW Brilliance Sustainability Report 2020.,0,auto
GREEN PRACTICES AT PLANT LYDIA BMW Brilliance is ceaselessly pursuing a more sustainable production process.,0,auto
"By asking the suppliers to set such targets, we make our expectations in terms of sustainability clear andstillgivethemsufficienttimetomakethisstrategy change with stipulations for the use of renewable energy.",0,auto
Skip Navigation Introduction Reducing Emissions Design for Environment Technology Customers Safety Diverse Workforce Human Rights Supply Chain Communities Governance SUSTAINABILITY STRATEGY CONT.,0,auto
"Main Opportunities Identified (1) If Subaru advances its efforts to make products more environmentally friendly as planned and global climate change mitigation/adaptation efforts progress adequately, the company will be able to maintain its key markets, This Management System Subaru has established the Environment Committee for the purpose of promoting the sustainable growth of both society and the company, and thereby contributing to global environment conservation.",0,auto
"Our belief is that the important thing is to listen to voices from society, develop a solid understanding of stakeholders demands and ensure that both are reflected in flexible and fast-paced sustainability initiatives.",0,auto
"We acknowledge that our activities and efforts must be continuously improved and advanced; we seek to provide greater value to society by delivering sustainable mobility for all while alleviating environmental impacts associated with climate change, resource dependency, water use and other issues.",0,auto
"If you want to stay up-to-date on sustainability at the BMW Group, you can register for the Sustainability News-letter right here.",0,auto
"We are firmly committed to act in a socially responsible manner and in line with sustainable practices within Stellantis and at each level of the supply base that include; ensuring the health and safety of its workforce, prohibiting human rights violations such as child labor and forced labor, and complying with conflict minerals and environmental protection regulations.",0,auto
Making the value of carbon a key factor in internal evaluations lets us invest more efficiently and be more competitive.,1,auto
"To remain a leading member of the automotive industry, BMW Brilliance is dedicated to sustainable growth.",0,auto
"To achieve the new EU 2030 CO2emissionstargets,webelievethateffectivepro-motional measures, combined with the comprehensive expansion of the charging infrastructure, which will significantlyincreasetheshareofelectrifiedvehicles,arere-quired throughout Europe, especially in the volume markets.",0,auto
"The Subaru Group recognizes that working on improving environmental issues through business activities is an urgent social issue imposed on corporations and that we bear the responsibility to accomplish this, and is working on environmentally-conscious procurement activities throughout the supply chain with the aim of achieving sustainable society.",0,auto
"We are strengthening our sustainability initiatives in all phases of our Supply Chain, from the procurement of raw materials to manufacturing, distribution, sales, and after-sales service, covering all the activities involved until the finished product reaches our customers.",0,auto
Parts and Service Sustainability: Stellantis offers a full range of remanufactured parts.,0,auto
"In keeping with our Corporate Philosophy and to contribute to building a sustainable society, the Subaru Group strives to procure high quality, environmentally friendly parts, materials, and equipment that offer excellent cost performance.",0,auto
"Materiality and Stakeholder Engagement FCAs sustainability reporting focuses on those topics that have been determined to be material, refecting the organizations significant economic, environmental and social impacts; or substantially infuencing assessments and decisions of stakeholders.",0,auto
Using Sustainable Packaging We have established a sustainable materials working group that is dedicated to sustainable packaging.,0,auto
This approach also involves our commitment to supporting the fight against climate change and contributing to a decarbonized economy by engaging our talents and assets on the path to carbon neutrality across our products and footprint.,0,auto
"The BMW Group expects that by 2030 many vehicles in urbantrafficwillbeautomated, dialogue with municipalities and in public partnerships, wewishtocontinuetocontributetowardsofferingmore sustainable and tailored mobility services to all residents.",0,auto
"Contents CEO Message CSO Message CSO Message Corporate Purpose / ESG Highlights Sustainability at Nissan Nissan's Contribution to the SDGs The Alliance Environmental Social Governance ESG Data Editorial Policy GRI Content Index Quick Guide For Investors implementation, Nissan created the position of chief sustainability officer (CSO) in 2016.",0,auto
"Although the emissions associated with fuel and electricity consumption in our manufacturing and other facilities represents a small part, around 1%, of the Companys overall carbon footprint, we are committed to reducing carbon emissions from industrial operations and non-manufacturing facilities.",0,auto
"At its heart are the 17 Sustainable Development Goals (SDGs), which are an urgent call for action by all countriesdeveloped and developingin a global partnership.",0,auto
"The Alliance Quick Guide For Investors GRI102-11 GRI102-26 GRI102-27 GRI102-28 GRI102-31 GRI102-32 GRI102-36 GRI103-2 GRI103-3 INTERNAL EFFORTS TO PROMOTE SUSTAINABILITY Company-wide management of specific activities under Nissan(cid:96)s sustainability strategy, from setting goals to monitoring progress, is the responsibility of the Global Sustainability Steering Committee chaired by the company(cid:96)s Chief Sustainability Officer (CSO).",1,auto
"The Executive Vice President, Human Resources and Transformation contributes to the Companys transition to a low-carbon economy by providing the necessary skills through the attraction of talent, the upscaling of employees and the co-construction of the Companys future via social dialogue with employees representatives.",0,auto
INBOUND LOGISTICS Sustainability has long been one of the basic tenets of BMW Brilliances in-bound logistics planning and operations.,0,auto
Company Organization for Community Engagement Nissan(cid:96)s corporate social contribution policies are discussed and approved by the Global Sustainability Steering Committee and shared globally.,0,auto
"In 2018, we cooperated with Business for Social Responsibility (BSR), a US organization promoting sustainability to implement a human rights assessment, allowing us to identify four key areas of potential risk related to human rights, namely supplier labor conditions, employee labor conditions, product safety and customer privacy*1.",0,auto
The compensation reflects whether the company(cid:96)s response to the sustainability issues meets the expectation from the society.,0,auto
"In 2020, we expanded our tracking of environmental compliance and sustainability performance in manufacturing operations by leveraging the Manufacturing Excellence Indexes (MEI) system.",0,auto
The Board takes these actions in the interest of effective corporate governance as well as sustainable growth and improvement of corporate value over the medium to long term.,1,auto
"The Subaru Group believes that enabling each one of our employees to fully demonstrate his/her ability enhances the attractiveness of the Subaru brand, which in turn leads to sustainable growth of the Groups corporate value.",0,auto
Published our 1st sustainability report.,0,auto
"In early 2020, GPSC established a Sustainability Subcouncil within the Supplier Business Council to enhance GPSC's sustainability strategy.",0,auto
"S&P Global evaluates the sustainability of approximately 7,000 companies worldwide in terms of economic, environmental and social criteria.",0,auto
"Introduction Strategy and Governance Economic and Innovation Environment Social Alternative Fuels andPowertrains Our efforts to develop sustainable technologies prioritizes the launch of electrified versions of our most popular nameplates, including the all-electric Mustang Mach-E and E-Transit.",0,auto
The average remuneration per person is disclosed in the Sustainability Report.,0,auto
"Aimed at the realization of the joy and freedom of mobility and a sustainable society where people can enjoy life, as is declared in this vision, each of Hondas global business sites is engaging in the reduction of an array of environmental impacts from the aspects of both production-based and corporate activities.",0,auto
"The Agenda contains 17 Sustainable Development Goals (SDGs) and 169 targets, and there are high expectations that corporations as well as nations will play a major role in realizing the SDGs.",0,auto
"New Values GLOBAL GROWTH OUR RESPONSE The Sustainable Development Goals (SDGs) are a universal call to action to end poverty, protect the planet and ensure that all people enjoy peace and prosperity.",0,auto
"We have set clear goals for sustainable individ-ual mobility, resource-efficient value creation, our employees development and our engagement in society.",0,auto
"Securing a more sustainable future requires urgency, decisive action and engagement from all.",0,auto
The aim is to make stock-based remuneration serve as a sound incentive toward sustainable growth.,1,auto
"Our supply chain sustainability program, Partnership for A Cleaner Environment (PACE), is designed to reduce the overall environmental impact of Fords key supply chain partners and contribute to our carbon neutrality ambition.",0,auto
"In FY2019, the Global Correlation Meeting was held in Japan to coordinate the direction of sustainability initiatives.",0,auto
This sur-veyispartofthesector-specificsustainabilityquestion-naire and is thus an integral part of our procurement pro-cess.,0,auto
It also means that sustainability as a corporate objective is broken down to the level of business areas and divisions.,1,auto
"This assists the company in practicing sustainable management and enhancing the transparency of its internal transactions, promoting ethical and ESG management practices, and protecting shareholders rights.",1,auto
"Contents CEO Message CSO Message Corporate Purpose / Corporate Purpose / ESG Highlights ESG Highlights Sustainability at Nissan Nissan's Contribution to the SDGs The Alliance Environmental Social Governance ESG Data Editorial Policy GRI Content Index Quick Guide For Investors GGovernance Governance Structure Transformation GRI102-18 GRI102-19 GRI102-22 GRI102-23 GRI102-24 GRI102-35 GRI102-28 Nissan transitioned to a company with three statutory committees on June 25, 2019, by establishing a Nomination Committee, a Compensation Committee and an Audit Committee.",0,auto
"Based on this immutable belief, we will take the lead in creating a sustainable future in which all mankind can live safely and healthily while enjoying freedom of movement and the unique offerings of our lives.",0,auto
"Sustainable logistics: increasing shipping container packing density, route efficiency monitoring, supplier emissions reduction and alternative fuels.",0,auto
"While we know achieving carbon neutrality is not simple, it is no exaggeration to say that survival of the human race is at stake.",0,auto
"This responsibility includes de-signing, implementing and maintaining internal control relevant to the preparation of the selected key data in the 2021 Sustainability Report that is free from material misstatement, whether due to fraud or error.",0,auto
"In this way, we are better able to leverage strengths from both sides to enhance overall sustainable development and ultimately create shared value.",0,auto
"We plan to develop and promote Eco Action 21 to the Group while receiving instruction and support from Institute for Promoting Sustainable Societies (IPSuS)*, an accreditation institute for eco action.",0,auto
"Nissan also reviews key issues in light of the latest trends, including stakeholder concerns and interests along with technological innovations, and incorporates them into the formulation of its sustainability strategy.",0,auto
"The total amount of carbon sequestered by biomass and soil was estimated to be more than 645,000 tons of CO2 equivalent according to the measurement methods of the Verified Carbon Standard (VCS).",0,auto
These activities are also designed to sup-port the UN Sustainable Development Goals (SDGs).,0,auto
"Through an assessment of various business risks and opportunities, we have identified six key areas in the Social dimension as part of Nissan Sustainability 2022, and we are conducting initiatives in these areas.",0,auto
"In addition to embedding sustainable materials in the packaging, WestRock has partnered with the Sustainable Workplaces team on a recycling project to create new packaging out of used cardboard from GM sites.",0,auto
"Corporate Governance The Companys governance supported how we did business on a daily basis, enabling us to pursue sustainable growth and to create value while respecting the legitimate interests of stakeholders.",1,auto
"As we transform our business to support production of electric vehicles (EVs), we are not only considering EoL reusability and recyclability but also working to ensure the use of sustainable materials in our vehicles from inception.",0,auto
"And in partnership with our suppliers, we are establishing a sustainable material target of at least 50 percent by 2030 for all our vehicles.",0,auto
Stakeholder survey for material topics We conducted surveys to our employees and sustainability management experts outside the company on the pool of material sustainability topics to identify the level of importance.,0,auto
"We believe sustainable growth is the only path forward to guide us out of the challenges outlined above, and it is a path that holds great potential for growth.",0,auto
For Investors SDG Goal Targets Nissan(cid:96)s Contribution Nissan(cid:96)s Approach Indicators FY2017 Results FY2018 Results FY2019 Results Reduce CO2 emissions from new cars.,0,auto
"Global CSV Activities Our System 3 Sustainability Factbook Sustainability Magazine CSV Strategy CSV Strategy System Hyundai conducts management activities based on our CSV strategy system, through which we create social value and make positive impacts on society.",0,auto
"We will continue to engage in our efforts to improve corporate governance as a top-priority management issue, while also developing our business activities with an eye to the demands of society and our social responsibility so that we can contribute to the development of a sustainable society.",0,auto
"It will do so by realizing sustainable mobility that does not negatively affect the global environment, expanding the use and spread of hydrogen energy, and establishing a closed-loop material cycle based on its leading technologies in the fields of electric vehicles and hydrogen energy.",0,auto
"Likewise in our logistics operation, carbon reduction is a core mission under our new 2025+ Aftersales Strategy, which has set ambitious targets to curb CO2 emissions from aftersales logistics.",0,auto
"Our responsible sourcing journey aims to ensure adherence to common, globally-embraced, environmental and social principles by focusing on our supply base sustainability development while enhancing transparency regarding raw material origin and human rights.",0,auto
"We have also established internal targets for increasing engagement with our supply chain partners, building on our successful CDP Supply Chain and the Partnership for ACleaner Environment (PACE) programs.",0,auto
"Dialogue with Suppliers In March 2016, Honda convened a Sustainability Briefing Session, where it shared current social trends and provided feedback on the results of inspections at business partners in accordance with the Honda Supplier CSR Guidelines.",0,auto
"CORPORATE GOVERNANCE AND VALUES Commitment: foster a path of resilience and growth in response to Environmental, Social and Governance aspects Targets 2020 Results Key: Target achieved Target partially achieved Target not achieved 2020: demonstrate continued relevance of Groups sustainability performance to financial and non-financial stakeholders through global and regional recognition FCAs sustainability performance related to product, process and social aspect management recognized at the global and regional levels, including: Earned score of A-on CDP Climate Change assessment Earned score of A-on CDP Supplier Engagement Ratings Member of sustainability indexes including STOXX Global ESG Impact, ECPI World ESG Equity, and ECPI Euro Ethical Among the FCA shareholdings held by the Groups top 200 institutional shareholders, 75% are held by investors that are considered as Highly or Medium ESG sensitive(1) 2020: expand and innovate dialogue on sustainability topics to reach an increasing number of internal and external stakeholders worldwide More than 3,000 external stakeholders involved in initiatives held virtually and covered a variety of topics such as non-financial disclosure and FCA's sustainability performance, workplace attractiveness, sustainable mobility 2020: incorporate sustainability targets in individual performance goals to drive behaviors in support of sustainability culture and values Sustainability targets incorporated in performance management system for individuals across the organization with responsibility for related projects 2020: adopt, maintain and improve systems and processes designed to eliminate human rights related risks across the Group and implement remedial actions, in accordance with local constraints and requirements 2020: prevent and manage emerging risks to ensure business continuity and minimize economic, environmental and social impacts, both internal and external The human rights self-assessment checklist was included as part of the standard internal audit process, with a coverage of 75% of the FCA workforce worldwide 97 sites identified as potentially exposed to flood risk and reanalyzed according to the flood risk assessment methodology Started to be extended globally the methodology for detection and mitigation of supplier risks, despite COVID-19 limited on-site visits Assessed 227 vehicle inventory parking lots located in 33 countries with respect to potential vehicle damage risk Insurable environmental exposures assessed and quantified through 86 self-assessed sites, and 26 ad hoc on-site visits conducted as ongoing project of the core loss prevention activity (1) Based on data obtained from an independent third-party market intelligence firm and its assessment of investors ESG sensitivity based on public information available as of December 31, 2020.",1,auto
"The team developed a carbon-neutrality framework that includes metrics for our vehicles, operations and supply chain that have been endorsed by management to ensure integration of carbon neutrality in company processes.",0,auto
"We also have an annual business planning process, known as Business Plan Deployment (BPD), to strengthen the management of environmental performance, which links our Global Manufacturing employees and their annual compensation to GM Sustainability Commitments.",1,auto
We are working diligently to integrate sustainability into all aspects of GM's supply chain.,0,auto
EFQM 7 Stars Outstanding Achievement in Sustainability awarded to BMW Brilliance Technology and Manufacturing from EFQM.,0,auto
"Our Code of Conduct governs how our employees are expected to act: displaying integrity in the workplace, in the marketplace and in their communities when representing GM, and it guides the conduct of our daily business 2021 SUSTAINABILITY REPORT 115 practices worldwide.",0,auto
"CONTRIBUTION TO SUSTAINABLE DEVELOPMENT GOALS GRI102-12 With the world population expected to reach nine billion by 2050, societies are facing a range of issues, such as climate change, poverty and ongoing urbanization.",0,auto
"Within the scope of our assurance engagement, we performed amongst others the following assurance procedures and further activities: Assurance Conclusion Based on the assurance procedures performed and assurance evidence obtained, nothing has come to our attention that causes us to believe that the Sustainability Information in the Sustainable Value Report for the period from 1 January to 31 December 2019 has not been prepared, in all material aspects, in accordance with the relevant GRI-Criteria, Obtaining an understanding of the structure of the sustainability organization and of the stakeholder engagement or Inquiries of personnel involved in the preparation of the Sustainable Value Report regarding the preparation process, the internal control system relating to this process and selected disclosures in the Sustainable Value Report Identification of the likely risks of material misstatement of the Sustainable Value Report Performance of site visits as part of the inspection of processes for collecting, analyzing and aggregating selected data Analytical evaluation of selected disclosures in the Sustainable Value Report Inquiries of personnel responsible for the reporting of fleet emissions and fuel consumption contained in the report, as well as reconciliation of selected data points regarding fleet emissions and fuel consump-tions with the technical vehicle data Comparison of selected disclosures with corresponding data in the financial statements and in the management report Evaluation of the presentation of selected sustainability information the Non-financial Report highlighted in color before the respective chapters contained within the Sustainable Value Report of the Com-pany for the period from 1 January to 31 December 2019 has not been prepared, in all material aspects, in accordance with 315 c in conjunction with 289c to 289e HGB.",0,auto
"We use assessment tools that focus on topics such as the environment, labor and human rights, ethics and sustainable procurement.",0,auto
We have targets approved by SBTi as well as internal targets with our suppliers.,0,auto
The Company believes this is also connected to risk management in terms of rising fuel prices due to carbon pricing expected to come in effect in the future.,0,auto
Responsibilities of the Executive Directors The executive directors of the Company are responsible for the preparation of the Sustainability Information in accordance with the principles stated in the Sustainability Reporting Standards of the Global Reporting Initiative (hereinafter the GRI-Criteria) and the Non-financial Report in accordance with 315 c in conjunction with 289c to 289e HGB.,0,auto
"Challenging dialogues with stakeholders, such as investors, institutions, and NGOs, among others, allow the Company to share its vision of carbon neutrality, its targets, its initiatives and solutions.",0,auto
"Nissans approach: A triple-layered approach, targeting vehicles, individuals and society.",0,auto
"Our challenger spirit and an innovating mindset combined with our deep-rooted commitment to sustainability, dives our determination to create distinctive and innovative products and services that inspire our customers and provide real social value.",0,auto
Reliability of Specific sustainability performance information DNV conducted a review of compliance with the principles of AA1000AP (2018) of the Report as described above (Type 1 verification).,0,auto
"In vehicles with alternative powertrains, WTW CO2 emissions vary with how carbon-intense the energy production process is.",0,auto
Our social impact strategy focuses on philanthropic investments that create inclusive and sustainable solutions to common social issues.,0,auto
"To meet the global demand for lower-carbon transport, we are delivering a growing portfolio of affordable hybrids, plug-in hybrids and all-electric vehicles.",0,auto
"As well as fostering a sustainability mindset among our employees and embedding sustainable practices throughout our organisation, we are driving industry-wide changes by working together with our partners to build an end-to-end sustainable value chain.",0,auto
"Under Nissan Sustainability 2022, Nissan clarifies its activities in terms of the ESG (Environmental, Social and Governance) aspects.",0,auto
"APPENDICES 2019 Sustainability Report Risk Management Global Risk Management System Auto industry regulations are rapidly changing, and responding to this trend has become an important priority for Hyundai.",0,auto
"Through a variety of channels, we strive to promote innovation, quality products, efficiency, best practice sharing and sustainability concepts.",0,auto
The BMW Group Sustainable Value Report (SVR) has been published to provide stakeholders with comprehensive information about the companys sustainability strategy and the progress made in integrating sustainability into its corporate processes.,0,auto
We also believe solutions need to continue to be found or consolidated: we encourage governments to support research and development efforts related to carbon capture and storage technologies that should contribute to decarbonization.,0,auto
"Preservation of the ecosystem of our planet, the earth, the sky and nature, is of utmost importance to ensure the future sustainability of both society and our organization.",0,auto
We also continue to assess how low-carbon renewable fuels can help reduce CO2 emissions as we bring electrified and hybrid models to market.,0,auto
"In addition, the Zaragoza plant is certified according to ISO standards and on the path to implementing the Stellantis Production Way sustainable efficiency model.",0,auto
"One landmark programme is the Network Transforma-tion Green Star Programme, which we are developing to enhance sustainable dealerships and services through four aspects: green environment, green power, green operations, and green engagement.",0,auto
"Our investments in electrification, sustainable operations and responsible sourcing reflect that.",0,auto
"We expect supplier carbon-emissions reductions to be achieved using process innovation, recycled materials, renewable energy for electricity and carbon capture utilization and storage.",0,auto
"Sustainability Priority Assessment We prioritize sustainability topics by engaging with our stakeholders to understand those topics most relevant to them and our business, and those that offer the greatest opportunity to create meaningful shared value.",0,auto
"The committee focuses on the progress of Nissan Sustainability 2022 and discusses issues and impediments for achieving the goals, and emerging societal challenges.",0,auto
"To this end, the company will work together by growing as Driving Innovation to Enrich Peoples Lives Corporate Purpose Realizing a zero-emission, zero-fatality society Nissan Sustainability 2022 E Environmental S G Social Governance an inclusive organization that supports a diverse range of employees in demonstrating their abilities and developing as professionals over the medium and long term.",0,auto
These initiatives also reinforce the sustainability of our own business.,0,auto
"Participating in Virada Sustentvel Facilitating Learning about Sustainability Taking an Inspiring Approach Honda par ticipated in Virada Sustentvel (meaning to become a sustainable society), which takes place annually in different parts of Manaus City in the Brazilian state of Amazonas.",0,auto
"The agenda also includes dedicated classes on sustainability-related topics such as responsible working conditions, environmental impacts, ethics and Conflict Minerals.",0,auto
Global CSV Activities Our System 3 Sustainability Factbook Sustainability Magazine Global CSV Activities Americas Hope on Wheels Hyundai Motor America (HMA) has been supporting the Hope on Wheels campaign with Hyundai dealers for 21 years since 1998.,0,auto
"Enriching Peoples Lives Analyzing Key Societal Issues At Nissan, top management regularly discuss key societal themes in order to determine which issues Nissan and all its Group companies should address as both a global corporation and an automobile manufacturer, and then ensure that the results are reflected in its sustainability strategy.",0,auto
We incorporated the Subaru Global Sustainability Policy (a reformed version of the former CSR Policy) that was enacted in April of FYE2021 as well as our Human Rights Policy.,0,auto
"GRI102-54 Date of Previous Report Sustainability Report 2020, issued September 30, 2020.",0,auto
"We have set climate change actions as a strategic sus-tainability direction, and our Corporate Sustainability Ex-ecution Committee is working across business functions to deliver climate-related targets across the whole value chain, including supply chain, production, logistics, utili-sation, and disposal.",1,auto
"In addition, sustainability-related topics, as disclosed in the materiality diagram, were included in the ERM risk assessment discussion, driving to an alignment with the global focus risks for the Group.",0,auto
The CO2 emissions related to the purchase of goods for use in our products represents more than 10% of the overall European carbon footprint of the Company while inbound and outbound transportation accounts for about 1%.,0,auto
A steering group is respon-sible for coordinating current and future measures and for evaluating regularly whether the targets are being achieved.,0,auto
"Hyundai will therefore focus on pursuing eco-friendly value throughout the entire value chain, creating a sustainable supply chain, and building a healthy corporate culture.",0,auto
Sustainability targets are incorporated in the performance management system for individuals across the organization with responsibility for related projects.,1,auto
This will result in a world where sustainable transportation is a reality for daily life and enables communities to be more prosperous and livable.,0,auto
"In our view, this contributes to a faster dissemination of sustainable mobility concepts.",0,auto
"Eventually, we hope to evaluate suppliers not just on quality and price, but how theyre doing on sustainability and how theyre reducing their own carbon footprints.",0,auto
Waste generation was reduced to 92% of the target value for FYE2019.,0,auto
"COMMUNICATING WITH OUR STAKEHOLDERS We incorporate sustainability issues into our interactions with different stakeholder groups in a variety of ways, with topics and formats that are tailored to each group.",0,auto
"We did this by introducing sustainability messages at the beginning of weekly GPSC staff meetings, similar to the safety messages we use to begin our meetings.",0,auto
"Defnitions, Methodology and Scope The FCA NV Sustainability Report, now in its 16th edition, is a voluntary document issued by the Group according to GRI Sustainability Reporting Standards issued in 2016 and partially updated in 2018 by the GRI-Global Reporting Initiative(1) to provide stakeholders a comprehensive picture of FCA activities, results and commitments in the economic, environmental and social spheres.",0,auto
Our metrics include interim targets for our operations and vehicles based on our path to carbon neutrality.,0,auto
"We are aligning our Sustainability strategy with SDGs, engaging our business plan.",0,auto
We are strengthening lines of communication with dealerships to further improve our sustainability management.,0,auto
