words,category
"We too are committed to supporting the SDGs as part of our sustainable business strategy, focusing on our value chain.",auto
"For us, this also means factoring in the 2C target set out in the Paris Climate Agreement.",auto
"In 2018, we provided a detailed explanation of which UN Sustainable Development Goals we were working on the most to help achieve our existing list of ten sustainability goals.",auto
"We provide detailed reporting in our Annual Report and Sustainable Value Report, as well as for our Carbon Dis-closure Project (CDP) rating.",auto
The BMW Group was once again the only German carmaker to be ranked in the Dow Jones Sustainability Indices (DJSI)intheWorldandEuropecategories.,auto
"Involving the Board in sustainability management The Board of Management governs the BMW Group under its own responsibility, acting in the interests of the com-pany and with the aim of achieving sustainable growth in value.",auto
"GRI 102-18 Following the restructuring of the BMW Groups Corpor-ate Strategy division, there is now joint responsibility for sustainability and mobility.",auto
The Sustainability and Mobility department is under the direct organisational supervision of the Chairman of the Board of Management within the Corporate Strategy divi-sion.,auto
This unit is responsible for global sustainability man-agement.,auto
"Its tasks include: Identifying challenges and opportunities for sustain able operations Developing and monitoring sustainability goals Further developing, specifying and integrating sustainability into the individual divisions, taking the entire value chain into account Ensuring the cooperation of all departments in the company involved in sustainability Helping to deliver a sustainable mobility system, especially in urban areas Managing sustainability on a long-term basis The Board of Management works to ensure that the Groups Strategy NUMBER ONE > NEXT is aligned with sustain-ability in the long term.",auto
"The special-purpose Sustainabil-ity Board was fully involved in regular Board of Manage-ment meetings in 2019, allowing sustainability issues to be even more consistently integrated into the companys deci-sion-making processes.",auto
"Since then, sustainability issues have been treated like every other topic and discussed as needed at fortnightly Board of Management meetings.",auto
All specificdecisionsreferredtotheBoardofManagementare subject to a mandatory sustainability evaluation.,auto
This group consists of the top management of the company divisions and also addresses sustainability issues.,auto
"First, this means that every major issue and project must be measurable in terms of sustainability as a corpor-ate objective.",auto
It also means that sustainability as a corporate objective is broken down to the level of business areas and divisions.,auto
"As a result, the personal targets set for managers include sustainability aspectsandcriteriawhichhaveaneffectontheirperform-ance-based remuneration.",auto
"The Supervisory Board decides on the level of compensation received by members of the Board of Management, orient-ing its decisions on the sustainable development of the BMW Group.",auto
Thishelpsustoanalysemoreeffectivelywhatnextsteps are required or are expected of us in the individual areas of action in sustainability management.,auto
"Operating as a sustainable participant in the financial market A regular, in-depth dialogue with the capital market has always been regarded as a high priority for the BMW Group.",auto
"Through face-to-face meetings and conversations, as well as road-showsandconferencesheldatinternationalfinancialcen-tres, we share information about the latest developments in the area of sustainability and the key focus areas that form part of our business strategy.",auto
"TheEuropeanCommissionpresenteditssustainablefinance actionplanforthefinancingofsustainablegrowthin March 2018,beforedetailingspecificproposalsforlegally binding regulations in May 2018.",auto
"In addition, as part of the Science Based Targets initiative, we have joined other vehicle manu facturers in supporting a method for establishingadequatecompany-specifictargetsforglobal value chain CO2 emissions.",auto
Sustainability is also a factor that the BMW Group takes into consideration when it comes to pension fund invest-ments.,auto
The company regularly examines compliance with sustainability standards during the process of allocation of asset management mandates.,auto
"The discourse around sustainable raw material procurement is highly important to the BMW Group, andwemakeregulareffortstoengageinaproductivedia-logue on the subject.",auto
"For this reason, we have integrated human rights into the BMW Group sustainability standard for the supplier network GRI 412-3 and established an appropriate risk management process.",auto
Incentives for sustainable mobility also play an important role in the purchase decision of customers.,auto
"By taking measures to reduce the emissions of CO2 and pollutants, we act in line with the UN Sustainable Devel-opment Goals (SDGs) 3 (Good health and well-being), 9 (Industry, innovation and infrastructure), 12 (Responsible consumption and production) and 13 (Climate action).",auto
"We intend to continue to meet the EU emissions targets in 2020 and 2021, and beyond.",auto
"In view of the global CO2fleet targets, the BMW Group pursues the clear objectives of meeting limits and, where we consider it to be appropriate, surpassing these.",auto
"We consistently take our reduction targets and ,wedefinespecifictargetsforemission reduction over the whole life cycle for new vehicle projects in each product line.",auto
Sustainability goal Products and services ELECTROMOBILITY The BMW Group is a leader in taking a holistic approach to premium electromobility.,auto
Our electrified vehicles1 combine the advan-tages of sustainable mobility and technological conveni-ence.,auto
"By taking measures to further enhance elec-tromobility, we are contributing to the UN Sustainable Development Goals (SDGs) 7 (Affordable and clean energy), 9 (Industry, innovation and infrastructure), 11 (Sustainable cities and communities), 12 (Responsible con-sumption and production) and 13 (Climate action).",auto
"Achieving sustainability over the entire life cycle From the very beginning of the BMW i project, we have beenoneofthefirstmanufacturerstopursuethegoalof consistently reducing the emissions of CO2 and other pol-lutants over the entire life cycle.",auto
The BMW Groups Strategy unit is responsibleformonitoringandrefiningourtargets.,auto
"In accordance with our life cycle approach, sustainability is taken into consid-eration throughout all stages, from the procurement of raw materials to recycling.",auto
This could also make a signif-i cant contribution towards achieving EU emission reduction targets.,auto
"To achieve the new EU 2030 CO2emissionstargets,webelievethateffectivepro-motional measures, combined with the comprehensive expansion of the charging infrastructure, which will significantlyincreasetheshareofelectrifiedvehicles,arere-quired throughout Europe, especially in the volume markets.",auto
"Our measures are designed to contribute to UN Sus-tainable Development Goals (SDGs) 9 (Industry, innova-tion and infrastructure), 11 (Sustainable cities and com-munities) and 13 (Climate action).",auto
Analys-ing anonymous vehicle data has a great deal of potential formakingtrafficmoresustainable.,auto
Due diligence processes: Taking changes in urban mobility patterns into account at an early stage The BMW Group has pooled the issue of changes in mobility systems in its corporate strategy and analysed the result-ing opportunities and challenges together with the issues of sustainability.,auto
"The role of the car in the transport sys-tem of the future, particularly in urban areas, is one of the greatest challenges for the future of the car and is addressed accordingly by the BMW Group, along with the reduction of the CO2 emissions and the sustainability of supply chains.",auto
"In doing so, weintendtomakeurbanmobilityevenmoreflexible,con-venient, sustainable and safer.",auto
"The BMW Group expects that by 2030 many vehicles in urbantrafficwillbeautomated, dialogue with municipalities and in public partnerships, wewishtocontinuetocontributetowardsofferingmore sustainable and tailored mobility services to all residents.",auto
"In our view, this contributes to a faster dissemination of sustainable mobility concepts.",auto
"Sustainability goal Production and value creation CONSUMPTION OF RESOURCES By 2020, the BMW Group will reduce its resource consumption (energy, water, waste, solvents) per vehicle produced by 45 % (base year 2006).",auto
"Therefore, the BMW Group has set ambitious sustainability goals for itself and, by continuously improving energy- and resource-efficiency and reducing CO2 emissions in produc-tion processes, it is making a valuable contribution towards protecting the environment and the climate.",auto
"In this way, we are contributing in particular towards achiev-ing the UN Sustainable Development Goals (SDGs) 9 (Industry, innovation and infrastructure), 12 (Responsible consumption and production) and 13 (Climate action).",auto
Through sustainable management we are taking into account our stakeholders expectations and in addition we are reducing our production costs in the medium term.,auto
"Furthermore, we pass on our experiences to our suppliers in order to foster sustainability in our supply chain as well.",auto
And we also continue to work on making further improvements in areas where we have already achieved our internal targets.,auto
It is our joint target to achieve a recycling rate of 96 % at the cell level by 2020.,auto
"New standards in sustainability From its first full production year, our San Luis Potos plant is expected to become the most resource-efficient plant of the BMW Group.",auto
A particular sustainability goal within the context of local conditions is the efficient use of water resources.,auto
"As part of the Green Logistics Strategy 2050, we are con-tinuously developing environmentally sustainable logistics concepts in collaboration with freight forwarders, infra-structure operators and producers of commercial vehicles.",auto
"In this way, we are contributing in particular towards achieving the UN Sustainable Development Goals (SDGs) 9 (Industry, innovation and infrastructure), 12 ( Responsible consumption and production) and 13 (Climate action).",auto
"In addition, we encourage suppliers to set themselves emission targets.",auto
A steering group is respon-sible for coordinating current and future measures and for evaluating regularly whether the targets are being achieved.,auto
"By asking the suppliers to set such targets, we make our expectations in terms of sustainability clear andstillgivethemsufficienttimetomakethisstrategy change with stipulations for the use of renewable energy.",auto
"In addition, we support initiatives for standardising sustainability requirements and introducing monitoring mechanisms, for example in mining and processing critical raw materials, through-out the entire supplier network.",auto
"With our measures along the supply chain we want to contribute towards fulfilling the UN Sustainable Develop-ment Goals (SDGs) 8 (Decent work and economic growth), 10 (Reduced inequalities), 12 (Responsible consumption and production) and 13 (Climate action).",auto
"With an estimated share of more than 70 % of all value added, our supplier network1cancontributesignificantly to sustainability within the BMW Group.",auto
"GRI 102-9 Establishing sustainability firmly within the supplier network As one of the pioneers in the automotive sector, we have made sustainability an integral part of our procurement process and an essential purchasing criterion since 2014.",auto
Our sustainability requirements apply to all suppliers of production materials as well as service providers.,auto
We identify raw materials and other materials that are par-ticularly critical in terms of sustainability.,auto
"We analyse the impact of these resources on the environment and society along the entire supply chain, develop rawmaterial-specific hedging strategies and carry out pilot projects to increase sustainability performance.",auto
"In order to ensure an active transformation towards a sus-tainable supplier network, we seek close collaboration with our suppliers and are committed to their further develop-ment in all aspects of sustainability.",auto
"Here, we contribute our experiences with various aspects of sustainability and the procurement of raw material as well as due diligence in supplier networks.",auto
"At the start of the year under review, we implemented even more stringent sustainability requirements for suppliers.",auto
Our employees in Strategic Purchasing are responsible for sustainability topics concerning the supplier network.,auto
We use due diligence processes to monitor the implementation of sustainability standards at our suppliers.,auto
"Cor-rectivemeasurestoremedythesustainabilitydeficitswere definedfor1,317 of those cases.",auto
We regard thisasconfirmationofthesuccessofourapproachof addressing and demanding sustainability requirements early on in the procurement process.,auto
"GRI 308-2, 414-2 Two potential incidents involving infringements of our principles for sustainability in the supply chain were reported using the relevant channels, for example the Human Rights Contact Supply Chain, during the and safety matters.",auto
"Our next steps: In the coming years, sustainability aspects will play an even bigger role during the tendering process at the BMW Group.",auto
"As part of a multi-stakeholder process, a sustainability standard of steel industry production sites are to follow from 2020, including the sustainability standard at the product level, starting at the mine.",auto
"In addition, we are actively involved in the Global Battery Alliance, which advocates more sustainability in supply chains for batteries.",auto
"Natural rubber Fostering sustainability in the natural rubber supply chains, a raw material which is mainly used in tyre products, is also particularly important to us.",auto
The foundation of the GPSNR was ini-tiated by the management of the World Business Council for Sustainable Development (WBCSD) Tire Industry Project (TIP).,auto
"All members are committed to environmental protection and improv-ing working conditions, to adhering to improved social and ecological standards and to promoting sustainability with business partners.",auto
This sur-veyispartofthesector-specificsustainabilityquestion-naire and is thus an integral part of our procurement pro-cess.,auto
National human rights initiatives in the supply chain Initiatives concerning sustainability aspects and human rights in the supply chain are active in various countries.,auto
In Germany these initiatives include the National Action Plan for Business and Human Rights (NAP) by the German government and a draft for a Sustainable Value Chains Act (NaWKG).,auto
"Sustainability goal Employees and society HEALTH AND PERFORMANCE To preserve the health and the performance of its employees in the long term, the BMW Group promotes personal responsibility and an appropriately designed work environment.",auto
GRI 403-1 These programmes also help us contribute towards achiev-ing the UN Sustainable Development Goals (SDGs) num-bers 3 (Good health and well-being) and 8 (Decent work and economic growth).,auto
"In order to guar-antee that the BMW Group remains an attractive employer, we aim to ensure that the total compensation package is above the average for the respective labour market.",auto
"To ver-ify this, we carry out annual compensation studies world-wide.",auto
"The total compensation package is made up of monthly remuneration and a variable compensation com-ponent;andthereareawiderangeofadditionalbenefits, such as a company pension.",auto
"Sustainability goal: The BMW Group ensures long-term employee develop-ment by seeking out the right employees, making the most of their talents, developing potential and ensuring employability The success of the BMW Group is based on the dedication and technical expertise of its employees.",auto
"By investing in our employees and offering them individ-ual development opportunities, we are acting in the spirit of the UN Sustainable Development Goals (SDGs) 4 (Quality education) and 8 (Decent work and economic growth).",auto
"Sustainability goal Employees and society DIVERSITY Through its diverse workforce, the BMW Group increases its competitiveness and enhances its innovative strength.",auto
"And beyond that, our measures to foster diversity and equal opportunities enable us to work towards the UN Sustainable Develop-ment Goals (SDGs) 5 (Gender equality) und 10 (Reduced inequalities).",auto
"In addition, we develop programmes that addressdifferenttargetgroupsinspecificcompanyport-folios and divisions.",auto
"GRI 404-2 Due diligence processes: Ensure equality of compensation In order to ensure gender pay parity, the BMW Group has established a monitoring process that compares the monthly pay of men and women based on the categories of full-time, part-time, pay grade and age.",auto
The analysis carried out in 2019foundnosignificantdifferencesbetweentheoverall compensation packages of women and men.,auto
We also contribute towards SDGs 6 (Clean Water and Sanitation) and 11 (Sustainable cities and communities).,auto
"The foundation encourages leaders worldwide to take action asResponsibleLeaderstohelpshapeapeaceful,justand sustainable future.",auto
These activities are also designed to sup-port the UN Sustainable Development Goals (SDGs).,auto
The order of the topics described is aligned with the long-term sustainability goals of the BMW Group and does not represent any particular weighting of the topics.,auto
"Ms Ursula Mathar and Dr Thomas Becker (sustainability, mobility) as well as MrGlennSchmidt(governmentalandexternalaffairs)are responsible for expert approval of the SVR.",auto
GRI 102-10 The BMW Group Sustainable Value Report 2019 will be published at the same time as the Annual Report on the BMW Group website.,auto
Forward-looking statements The BMW Group Sustainable Value Report 2019 contains various forward-looking statements about future develop-ments which are based on the current status of the BMW Groups assumptions and forecasts.,auto
Every document submitted to the Board for decision must include a sustainability assessment of the planned project and/or the alternatives presented for decision.,auto
All Board members are responsible for climate-related topics and ensure that the strategic direction with regard to sustainability is implemented more systematically as a driver in all Board divisions.,auto
"As the industry is significantly affected by future regulatory requirements, manufac-turers that implement sustainability strategies at an early stage can gain a competi-tive edge through lower ongoing development costs and benefit from higher sales due to earlier market penetration.",auto
Increasing demand for vehicles with efficient and new technologies that comply Shifts in consumer preferences towards CO2-efficient and sustainable products and Improved access to capital due to the increasing significance of sustainability on the with CO2 regulations.,auto
"Within the scope of our engagement we did not perform an audit on external sources of in-formation or expert opinions, referred to in the Sustainable Value Report.",auto
"This Standard requires that we plan and perform the assurance engagement to allow us to conclude with limited assurance that nothing has come to our attention that causes us to believe that the Sustainability Information in the Sustainable Value Report for the period from 1 January to 31 December 2019 has not been prepared, in all material aspects, in accordance with the relevant GRI-Criteria, or the Non-financial Report highlighted in color before the respective chapters contained within the Sustainable Value Report of the Com-pany for the period from 1 January to 31 December 2019 has not been prepared, in all material aspects, in accordance with 315 c in conjunction with 289c to 289e HGB.",auto
"To BMW AG, Munich We have performed a limited assurance engagement on the sustainability disclosures (hereinafter the Sustainability Information) and the combined separate non-financial report pursuant to (Articles) 289b Abs.",auto
Responsibilities of the Executive Directors The executive directors of the Company are responsible for the preparation of the Sustainability Information in accordance with the principles stated in the Sustainability Reporting Standards of the Global Reporting Initiative (hereinafter the GRI-Criteria) and the Non-financial Report in accordance with 315 c in conjunction with 289c to 289e HGB.,auto
This responsibility of Companys executive directors includes the selection and application of appropriate methods of sustainability reporting and non- financial reporting as well as making assumptions and estimates related to individual non-financial disclosures which are reasonable in the circum-stances.,auto
"Within the scope of our assurance engagement, we performed amongst others the following assurance procedures and further activities: Assurance Conclusion Based on the assurance procedures performed and assurance evidence obtained, nothing has come to our attention that causes us to believe that the Sustainability Information in the Sustainable Value Report for the period from 1 January to 31 December 2019 has not been prepared, in all material aspects, in accordance with the relevant GRI-Criteria, Obtaining an understanding of the structure of the sustainability organization and of the stakeholder engagement or Inquiries of personnel involved in the preparation of the Sustainable Value Report regarding the preparation process, the internal control system relating to this process and selected disclosures in the Sustainable Value Report Identification of the likely risks of material misstatement of the Sustainable Value Report Performance of site visits as part of the inspection of processes for collecting, analyzing and aggregating selected data Analytical evaluation of selected disclosures in the Sustainable Value Report Inquiries of personnel responsible for the reporting of fleet emissions and fuel consumption contained in the report, as well as reconciliation of selected data points regarding fleet emissions and fuel consump-tions with the technical vehicle data Comparison of selected disclosures with corresponding data in the financial statements and in the management report Evaluation of the presentation of selected sustainability information the Non-financial Report highlighted in color before the respective chapters contained within the Sustainable Value Report of the Com-pany for the period from 1 January to 31 December 2019 has not been prepared, in all material aspects, in accordance with 315 c in conjunction with 289c to 289e HGB.",auto
WE LOOK FORWARD TO HEARING FROM YOU Numerous BMW Group employees participated in creat-ing this Sustainable Value Report 2019.,auto
"If you want to stay up-to-date on sustainability at the BMW Group, you can register for the Sustainability News-letter right here.",auto
"Thanks to resolute crisis manage-ment and rigorous digital teamwork at all levels, last year we responded successfully to global cri-ses, committed to rethink our approach in the fu-ture, and reinforced our dedication to sustainability and responsible corporate citizenship.",auto
"BMW Brilliance fully supports both of these goals, and will continue to create world-leading sustainable mobility technologies that accelerate the world towards a greener future.",auto
"In order to align with the BMW Groups new 2030 Sustaina-bility Strategy, as well as the stakeholder expecta-tions we uncovered through an engagement cam-paign in 2020, we have refined our sustainability directions to the following three areas: climate change actions; accountable, circular, and resilient value chain; and responsible corporate citizenship.",auto
"Reinforcing sustainability efforts across our value chain By focusing our efforts on these three strategic di-rections, we can use our business to help address the most pressing problems facing our industry, our society, and the world as a whole.",auto
This vehicle represents a true path forward for sustainable mobility.,auto
"Five-Year Plan, which places a strong em-phasis on green, low-carbon, sustainable devel-opment.",auto
"And we are sharing our best practices with key suppliers to help them establish CO2 disclosure mechanisms and energy management capabilities, to cascade sustainability into our value chain.",auto
"The all-electric iX3 also represents our commitment to green, sustainable de-velopment: A green car, built in a green plant, and transported using green logistics.",auto
"The sustainability, convenience, and luxury we offer our customers is a result of our cus-tomer-centric focus on delivering a premi-um experience.",auto
We are inspired by the potential of doing business in a sustainable manner and guided by our aspiration to be the leading sustainable provider of premium individual mobility across the entire value chain of Chinas automotive industry.,auto
Launch of the BMW Brilliance Sustainability Report 2019.,auto
O G R E A T A truly responsible and sustainable business must have a higher purpose than simply achieving profitit must work to improve the world.,auto
"The BMW Group has made sustainability central to the companys strategic direction, and BMW Brilliance aligns our goals and values with them.",auto
"We aspire to be not only the most successful, but also the most sustainable provider of premium individual mobility in China, and always focus on the needs of our stakeholders.",auto
"True sustainability requires a company to minimise environmental impacts, and we are making our contribution by focusing on developing and improving technologies and services that can ef-fectively bring about a viable reduction in the global carbon emissions caused by individual mobility.",auto
"With this strate-gy, we can create a clear competitive advantage by offering our customers trendsetting mobility solutions that are also made with sustainable principles in mind.",auto
"Sustainable operations also re-quire responsible business conduct, and we are committed to ethical business practices, strong risk management, and a culture of compliance and exceeding the expectations of our stakeholders.",auto
"Our sustainability framework is built on eight focus areas spanning the three pillars of our value-crea-tion model, as well as four enablers that accelerate our sustainability journey: new technologies, sus-tainability mindset, sustainability governance, and compliance & beyond.",auto
"In 2020, we refined our three sustainability strate-gic directions, in response to internal and external changes, the BMW Group Sustainability goals, a world changed by the COVID-19 pandemic, and increased stakeholder expectations.",auto
"OUR THREE SUSTAINABILITY STRATEGIC DIRECTIONS 1 2 3 CLIMATE CHANGE ACTIONS ACCOUNTABLE, CIRCULAR & RESILIENT VALUE CHAIN RESPONSIBLE CORPORATE CITIZENSHIP For Climate Change Actions, we are committed to creating a roadmap to carbon neutrality within our own oper-ations, enabling 100% renewable en-ergy use by our key suppliers, contin-uously reducing the carbon footprint of our logistics operations through electrification and modal shifts, and accelerating the adoption of new en-ergy vehicles across Chinese society by boosting NEV sales and facilitating convenient long-distance zero-emis-sion travel.",auto
BMW BRILLIANCE SUSTAINABILITY MILESTONES Joined UN Global Compact as the 1st automotive joint venture in China.,auto
Published our 1st sustainability report.,auto
Refined three sustainability strategic directions.,auto
Create new sustainability value system.,auto
Set sustainability targets and holistically integrate into corporate governance.,auto
Production Reduce the emissions from producing our products in line with the BMW Group sustainability goals and Chinas carbon-neutral commitment.,auto
"At the day-to-day level, our internal business functions lead progress on sustainability-related decisions made by the Board of Management.",auto
The BMW Brilliance Board of Management ensures we integrate sustainability into key business decisions regard-ing the overall direction of the company.,auto
"Sustainability is a central feature of the annual target-setting process through which business functions must set and deliver on concrete targets, which allows us to implement the guidance of the Board of Management in a systematic way, with accounta-bility for the business functions.",auto
"In 2020, the Board of Management approved the imple-mentation of the BMW Brilliance Corporate Sustainability Execution Committee.",auto
"This 9-member management-level group meets every month and is tasked with ensuring trans-parency and common understanding on overall sustainabil-ity progress, synergising resources across departments to accelerate implementation, and sharing external insights, trends, and best practices to drive sustainability innovation.",auto
Sustainability Governance at BMW Brilliance.,auto
"Metrics and Targets: The BMW Brilliance sustainability report offers an overview of the key sustainability indi-cators that we use to measure, monitor, and manage climate change-related risks.",auto
"We have set climate change actions as a strategic sus-tainability direction, and our Corporate Sustainability Ex-ecution Committee is working across business functions to deliver climate-related targets across the whole value chain, including supply chain, production, logistics, utili-sation, and disposal.",auto
"As a result, our stakeholders expectations of our performance and strategy have changed, so in 2020 we conducted a new materiality assessment to identify and prioritise the sustainability issues that matter most to our business and key stakeholders.",auto
"COMMUNICATING WITH OUR STAKEHOLDERS We incorporate sustainability issues into our interactions with different stakeholder groups in a variety of ways, with topics and formats that are tailored to each group.",auto
"During the pandemic especially, we convened regular sessions to share the progress BMW Brilliance has made in building a sustainable recovery, emphasising the importance of diversity among our workforce to our success as a compa-ny, as well as the latest developments in our company progress, such as our ongoing Plant Tiexi and Plant Dadong Extension projects.",auto
"Leveraging on our refined sustainability strategic directions, we will develop our sustainability targets and integrate into corporate governance, advance communication and collaboration with stakehold-ers, and enhance the overall awareness and level of sustainable development of the company.",auto
"Our approach to climate change is fully aligned with and supportive of the BMW Groups pathway to carbon emissions reduction, and climate action is a key pillar of our refined sustainability directions.",auto
"Because BMW Brilliance believes there is no premium without responsibility, it is our ambi-tion to lead the way in sustainability.",auto
That is why we are taking responsibili-ty by making sustainability issues cen-tral to our future strategic direction.,auto
E-MOBILITY PRODUCTS AND COMPETENCY Electrification and a strong E-mobility product portfolio are the foundation of sustainability.,auto
We believe that sustainability does not have to mean going without comfort and joy.,auto
"We believe that a green lifestyle is the lifestyle of the future, and seek to foster a sustainable mindset and behaviour change among our NEV customers.",auto
"Not only through our sustainable products, but also by creating customer experience activities and inspiring customers through our dealers green building designs and low-carbon operations.",auto
"PROMOTING SUSTAINABILITY TOGETHER WITH DEALER PARTNERS We create climate-friendly environment to cus-tomers at our dealerships by encouraging and supporting dealers to adopt green building de-sign and low-carbon operations, with reference to the National Assessment Standard for Green Buildings, particularly the standards for 1-star and 2-star grades, as well as BMWs own 5S Standard.",auto
"These efforts will help ensure the achievement of the BMW Groups overall sustainability target, as well as promote the implementation of Chinas sustain-ability strategy across the supply chain.",auto
The continuous improvement approach is the core element that shapes our quality targets.,auto
"In order to achieve a truly sustainable busi-ness, we must strive to eliminate waste across our operations.",auto
"By returning scrap aluminium and steel to manufacturers for use as secondary raw materials, not only are we reducing our impacts, but we are also able to extend our sustainability efforts to more el-ements of our supply chain.",auto
"A truly sustainable company is one that takes responsibility for its impacts and works to minimise negative impactson the environment, on our workforce and customers, and on the communities where we live and work.",auto
"In addition to adopting the most advanced and sustainable production practices, ensuring a safe workplace for employees is our fundamental cor-porate responsibility.",auto
"Environmental Steering Committee Cross-functional environmental target steering and monitoring, project planning and performance evaluation.",auto
Our management team has developed targeted programmes for on-site inspection.,auto
"By the end of 2020, we exceeded our target of helping the top 10 high-risk suppliers achieve an EHS im-provement rate of 20%.",auto
We have developed three levels of CSL training targeting different associate levels and functions.,auto
We believe that these core values are the main cornerstones for sustainable success.,auto
"We developed our compensation and benefits policy to ensure we can attract and retain the best talent, and to moti-vate and inspire them to give their best work to our company.",auto
"Besides helping associates to bond with each other, a primary focus of the pro-ject is to make a sustainable contribution to society.",auto
"With more major construction projects ongoing, BMW Brilliance is committed to expanding our work to protect biodiversity and ecology at our facilities in response to the national initiative of constructing an ecological civilisation and creating a sustainable working environment that is good for our associates and the community.",auto
"We continue to look to the future of our company and our in-dustry, and how we can build BMW Brilliance while also bene-fitting the sustainable development of our communities.",auto
"Our focus as we develop the CGIP has been particularly on integrating the project with the cityincluding developing local talent, protecting and sus-taining the environment, and connecting the work at CGIP with BMW Brilliances sustainability principle, particularly the 3P approach of People, Planet, and Property.",auto
And we plan to present a series of successful ICH innovation cases combined with Culture Journeys 15 years of insights to provide the constructive reference for ICHs sustainable protection.,auto
The BMW Brilliance 2020 Sustainability Report provides stakeholders with comprehensive information about the companys sustainability ambitions and progress.,auto
"This is BMW Brilliances seventh Sustainability Report, covering the calendar year from January 1 2020 to December 31 2020.",auto
"The last BMW Brilliance Sustainability Report, covering our 2019 performance and activities, was released in July 2020.",auto
The next Sustainability Report will be published in mid-2022.,auto
"The sustainability performance data in the report include the following production and operation sites of BMW Brilliance: our plants in Shenyang, as well as our branch offices in Beijing and Shanghai, and our five sales regional offices.",auto
We have made no changes in the methods used to collect and measure the data on our sustainability performance.,auto
The targets set within the report build on the indicators presented in previous years.,auto
"BMW BRILLIANCE BMW BRILLIANCE AUTOMOTIVE AUTOMOTIVE ABOUT THIS REPORT At BMW Brilliance, we firmly believe that there is no accountability without transparency, and we release the Annual Sustainability Reports to disclose our economic, social and environ-mental impacts on the most critical aspects.",auto
CEOS MESSAGE LEADING THE MOVEMENT FORWARD 2021 was a stark reminder of the urgent need for us all to move towards a more sustainable way of living.,auto
"No Premium Without Sustainability As societies work towards a more sustainable economy, businesses also need to keep up with the sustainable development.",auto
"The sustainability tar-gets of BMW Brilliance are aligned with BMW Group, and we fully support the Groups strategic objective to be the most sustainable manufacturer for individual premium mobility.",auto
"As well as fostering a sustainability mindset among our employees and embedding sustainable practices throughout our organisation, we are driving industry-wide changes by working together with our partners to build an end-to-end sustainable value chain.",auto
A sustainable future is only possible when we are all pulling in the same direction.,auto
"To accel-erate sustainable transformation of our supply chain, we launched the Supply Chain Match Plan China, and one of the underlying ambitions are to enable our suppliers in Liaoning Province to transition to 100% renewable electricity by 2030.",auto
"One landmark programme is the Network Transforma-tion Green Star Programme, which we are developing to enhance sustainable dealerships and services through four aspects: green environment, green power, green operations, and green engagement.",auto
Accelerating Circularity Truly sustainable manufacturing cannot be achieved without circularity.,auto
"Another component in our push for sustainability is an expanded scope of parts-returns and reman-ufacturing, and further upgraded core tracing features for reverse logistics systems and improved overall parts-manufacturing capability.",auto
"Priorities in 2022 At BMW Brilliance, we believe the spirit of sustainability and cooperation is the only way forward to resolve the global challenges today.",auto
"In 2022, we are not only excited to accelerate our own sustainable transformation, but also ready to lead the sustainable and high-quality development of Chinas automotive industry.",auto
