sentence,page,company,keyword(s),relevant,scale
"Collaborating with suppliers We aim to reduce the impact of our activities with our partners, by collaborating on the research and design of our products.",48,BP Plc,['supplier'],FALSE,0
"In 2021, we set up a sustainable supply chain ambassador network aiming to raise awareness and mobilize our purchasing teams to help embed sustainability into our supply chain strategies and activities.",48,BP Plc,['supply chain'],FALSE,0
"Our progress in 2021 We continued to progress our efforts on human rights, labour rights and modern slavery in relation to our decent work objective under aim 12, and on supplier diversity in relation to our multiply DE&I impact through suppliers objective under aim 14.",48,BP Plc,['supplier'],FALSE,0
"Read more about waste, on page 16 Sustainable purchasing Our aim 20 is developing a more sustainable supply chain.",48,BP Plc,['supply chain'],FALSE,0
"Read more: Aims and objectives summary Our supply chain in 2021 We currently operate in more than 65 countries and have over 40,000 suppliers.",48,BP Plc,"['supplier', 'supply chain']",FALSE,0
We applied these factors to differentiate supplier responses and create a shortlist of potential suppliers.,48,BP Plc,['supplier'],FALSE,0
"We have trialled the inclusion of sustainability factors in our major purchasing decisions and focused on supplier sustainability strategies, greenhouse gas emissions, use of renewable energy and circular approaches to product design and content.",48,BP Plc,['supplier'],TRUE,2
"We will work with our key suppliers to embed sustainable practices, focusing on reducing greenhouse gas emissions and increasing the circularity of what we buy.",48,BP Plc,['supplier'],TRUE,1
Our group operations risk committee reviews progress on managing the potential operational and associated supply chain risks of modern slavery.,51,BP Plc,['supply chain'],FALSE,0
"Engagement also helps us create value, by delivering solutions for customers and supply chain partners, investing in our employees and paying taxes.",53,BP Plc,['supply chain'],FALSE,0
"Read more about our aim 10 clean cities and corporates, on page 32 Read more about our aim 11 more clean energy, on page 35 We identify our main stakeholder groups as employees, investors and shareholders, customers, society, government and regulators, and supply chain partners.",53,BP Plc,['supply chain'],FALSE,0
"The Mission Possible Partnership (MPP) is focused on driving decarbonization across the value chain of the worlds highestemitting industries, supported by an expanding network of nearly 300 partners.",53,BP Plc,['value chain'],FALSE,0
"Supply chain partners $51bn thirdparty spend We engage with supply chain partners, making full use of virtual environments.",55,BP Plc,['supply chain'],FALSE,0
We launched regionspecific and projectdedicated supplier portals.,55,BP Plc,['supplier'],FALSE,0
"In particular, such statements, among other statements, may include but are not limited to: statements relating to the purpose, ambition, aims, targets, plans and objectives of bp as well as statements regarding expectations for bps strategy including for bp to transform from being an international oil company focused on producing resources, to an integrated energy company focused on delivering energy solutions for customers; plans and expectations regarding bps ambition to be a net zero company by 2050 or sooner and help the world get to net zero, including its five aims to get bp to net zero across its production, operations and sales, as well as its aims in respect of, methane measurement at major oil and gas processing sites by 2023 and subsequent reduction of methane intensity of operations, and aims to increase the proportion of investment into nonoil and gas businesses over time; plans and expectations regarding bps five aims to help get the world to net zero, including the aim to more actively advocate for policies that support net zero, including 58 carbon pricing, the aim to incentivize bps global workforce to deliver on these aims and mobilize them to become advocates for net zero, the aim to set new expectations for relationships with trade associations around the globe, the aim to be recognized as an industry leader for the transparency of its reporting and the aim to launch a new team to create integrated clean energy and mobility solutions; plans and expectations for bps Sustainability Frame that underpins the strategy including ten aims (our people and planet aims) regarding more clean energy and the plan to have developed 50GW renewable energy generating capacity to FID by 2030, supporting a just transition that advances human rights and education and includes developing just transition plans in priority areas, helping over 1m people build sustainable livelihoods, greater diversity, equity & inclusion for our workforce and customers and increasing supplier diversity spend to $1 billion, enhancing the health and wellbeing of our employees, contractors and local communities, putting our biodiversity position into action including the expectation that from 2022 all new bp projects in scope will have plans in place aiming to achieve net positive impact, replenishing more freshwater than we consume in our operation, using naturebased solutions (NbS) to deliver value and contribute to our people and planet aims in our operations and through our business activities and using circular resources and embracing circular principles in design, operations and decommissioning, working with our key suppliers to embed sustainable practices, focusing on reducing greenhouse gas emissions and increasing the circularity of what we buy and planning to create a circularity methodology and set circularity aims by the end of 2023; expectations that by 2030 bps net production of oil, natural gas and natural gas liquids will be around 40% lower relative to 2019; plans and expectations about growing our renewables and bioenergy businesses and seeking early positions in hydrogen and carbon capture, use and storage and strengthen our gas position; our role in the Net Zero Teesside (NZT) and Northern Endurance (NEP) projects; plans and expectations in relation to divestments including noncore assets; expectations regarding bps partnership with Equinor for offshore wind in the US; plans to continue to focus on the customer and scale up our differentiated offers in growth markets and for nextgen mobility solutions, including electrification, sustainable fuels and hydrogen; plans to do more to integrate sustainability into our governance structures and business processes, so that it informs our strategic and operational decisions; statements regarding the uncertainties in the energy transition; Forward looking statements involve risk and uncertainty because they relate to events and depend on circumstances that will or may occur in the future and are outside the control of bp.",60,BP Plc,['supplier'],FALSE,0
"During the year, we conducted an analysis of our 200 most important suppliers in order to assess them on environmental, social and governance criteria.",9,Befimmo,['supplier'],TRUE,2
It is an online collaborative application offering secure external access for tenants (and suppliers).,22,Befimmo,['supplier'],FALSE,0
"DRIVING FORCE: INTERACTING WITH OUR STAKEHOLDERS Suppliers and subcontractors In an effort to integrate the sustainability approach even more in its supply chain, Befimmo developed a responsible procurement charter to communicate its expectations clearly during supplier engagement.",23,Befimmo,"['supplier', 'supply chain']",FALSE,0
"Given the importance of sustainability at Befimmo, suppliers who do not respect the charter are likely to be replaced.",23,Befimmo,['supplier'],FALSE,0
"In 2020, Befimmo analysed 200 of its main suppliers with the help of specialised external company.",23,Befimmo,['supplier'],FALSE,0
"Since early 2018, every supplier who signs a purchase order commits through the general conditions to follow the recommendations of the charter.",23,Befimmo,['supplier'],FALSE,0
The main objective is to set up specific actions to raise awareness among these suppliers regarding the ESG criteria.,23,Befimmo,['supplier'],TRUE,1
The suppliers were screened on their efforts on the ESG criteria.,23,Befimmo,['supplier'],TRUE,2
Other suppliers and products have also started to meet C2C requirements.,33,Befimmo,['supplier'],TRUE,2
"Given the scale of its real estate activity, and the significant use of resources generated by its business, Befimmo is keen to reduce its global environmental impact at all levels of the value chain.",40,Befimmo,['value chain'],TRUE,1
"In 2020 it joined the Belgian Alliance for Climate Action (BACA), in order to strengthen its sustainability efforts with Science Based Targets and to encourage its supply chain to do the same.",41,Befimmo,['supply chain'],FALSE,0
"In the future, Befimmo will focus on broadening the horizon beyond the energy consumption of buildings in operation, and on defining and completing additional CO2e emission reduction targets for its entire value chain, aligned with those of a lowcarbon Belgium by 2050.",42,Befimmo,['value chain'],TRUE,1
The teams work hand in hand to meet the challenges of rational energy use and CO2e emissions reduction throughout the business and the value chain.,42,Befimmo,['value chain'],TRUE,1
"MANAGING AND EXPLOITING CONSUMPTION DATA Data and information relating to the energy consumption of the portfolio is obtained through (i) network operators and energy suppliers, (ii) maintenance companies, (iii) telemonitoring of consumption, (iv) internal managers, and (v) building occupants.",43,Befimmo,['supplier'],FALSE,0
Its shortterm intention is to complete its work on limiting environmental impact throughout its value chain.,45,Befimmo,['value chain'],TRUE,1
"At the end of 2020, the supplier for all the pouredinplace concrete used in ZIN obtained a C2C Silver certification for their readymix concrete.",47,Befimmo,['supplier'],TRUE,2
Befimmo and the constructing team also took steps to contact potential suppliers of the future building and suggest that uncertified companies should consider environmental certification for the impact of their products.,47,Befimmo,['supplier'],TRUE,2
Other future suppliers are on course for C2C certificates.,47,Befimmo,['supplier'],TRUE,2
"Approach and achievements 2020 To further integrate the sustainability approach into its supply chain, Befimmo has drafted a sustainable procurement charter to clearly communicate the commitments it expects from its suppliers.",51,Befimmo,"['supplier', 'supply chain']",FALSE,0
Befimmo is aware of its environmental impact and has set up an objective in order to raise awareness throughout its value chain.,51,Befimmo,['value chain'],TRUE,1
During 2021 the Company will formulate concrete actions to inform and motivate its suppliers on ESG criteria.,51,Befimmo,['supplier'],TRUE,1
"Each year, all departments are reminded of these guidelines and are asked to challenge their direct suppliers even more.",51,Befimmo,['supplier'],FALSE,0
"In 2020, Befimmo worked with an external company to assess its 200 most important suppliers, and determine if they are on the same page regarding environmental, social, and governance issues.",51,Befimmo,['supplier'],TRUE,2
In a nutshell: Some 200 of Befimmos most important suppliers were addressed which corresponds to 95% of purchases.,51,Befimmo,['supplier'],FALSE,0
These suppliers were chosen based on the invoice frequency and amount per supplier Suppliers were asked to fill in a survey on how they take into account ESG criteria during their own decisionmaking process and daytoday activities 58% of suppliers sent their assessment back to us 58% of suppliers already have or are implementing an environmental strategy for their business and 72% has an ethics and corruption policy Befimmo gained valuable information which it will analyse thoroughly.,51,Befimmo,['supplier'],TRUE,2
This charter was published on the Befimmo website in early 2018 and adherence is now included in the standard terms and conditions required of all suppliers.,51,Befimmo,['supplier'],FALSE,0
"This large decrease is largely due to the health situation, which has accelerated digitalisation and electronic sending and receiving of documents to and from tenants and suppliers in the buildings.",53,Befimmo,['supplier'],FALSE,0
"Specific data protection agreements have been concluded with its various suppliers, subcontractors, counterparties, etc.",62,Befimmo,['supplier'],FALSE,0
"Organizational profile 1021 1022 1023 1024 1025 1026 1027 1028 1029 Name of the organization Activities, brands, products, and services Location of headquarters Location of operations Ownershipandlegalform Marketsserved Scaleof theorganization Information on employees and other workers SupplyChain Significant changes to the organization and its supply chain Precautionary principle or approach 2.",76,Befimmo,['supply chain'],FALSE,0
"LOWRISE OFFICE 100 036 m MIDRISE OFFICE HIGHRISE OFFICE 231 890 m 443 409 m Management of consumptiondata All available energyconsumption data and information are obtained via (i) utility companies and energy suppliers, (ii) maintenance companies, (iii) telemonitoring of consumption and (iv) the inhouse manager.",80,Befimmo,['supplier'],FALSE,0
Our Suppliers 19 Big Yellows suppliers are important partners in helping us deliver our environmental and social commitments.,2,Big Yellow Group,['supplier'],TRUE,1
"These are identified as (1) our employees, (2) our shareholders, (3) our customers, (4) our suppliers and (5) our communities.",11,Big Yellow Group,['supplier'],FALSE,0
"However, we are very pleased that we have been able to inspire some of our suppliers and contractors to take up the opportunity of employing social enterprises, one of whom has taken that up during the year at our construction site in Bracknell.",18,Big Yellow Group,['supplier'],FALSE,0
"Our Big Yellow Foundation Steering team, who meet on a quarterly basis, determines how best to raise funds, and promote the Foundation to our employees, customers, and suppliers.",20,Big Yellow Group,['supplier'],FALSE,0
"All of our suppliers have been able to provide us with chain of custody documentation assessed and certified by SGS (An Inspection, verification, testing and certification company).",25,Big Yellow Group,['supplier'],FALSE,0
"How we manager our suppliers We manage our suppliers on a decentralised basis, with each Company Department Head overseeing the onboarding, contracting and inlife management of their suppliers.",25,Big Yellow Group,['supplier'],FALSE,0
"However, as we do not report on the Modern Slavery Act until later in the year, we would like to provide a brief update here: in July 2020 both our Construction team and our Facilities team engaged with their relevant partners and suppliers to prominently display our anonymous whistleblowing helpline.",25,Big Yellow Group,['supplier'],FALSE,0
"Many of our suppliers have become trusted partners, having worked with us for five or more years.",25,Big Yellow Group,['supplier'],FALSE,0
"Most of our suppliers provide professional, highly skilled advice and services.",25,Big Yellow Group,['supplier'],FALSE,0
"Our suppliers At Big Yellow, our suppliers are an integral part of our business.",25,Big Yellow Group,['supplier'],FALSE,0
"Supplier engagement This year, we have engaged with our cardboard box suppliers to ensure that the material for the boxes we sell comes from sustainable sources that do not contribute to deforestation.",25,Big Yellow Group,['supplier'],TRUE,3
Supply chain risks We provide a full update of supply chain risks as part of our reporting on the UK Modern Slavery Act.,25,Big Yellow Group,['supply chain'],FALSE,0
The poster is kept unbranded on purpose to reenforce the message that any calls are treated in confidence; in March 2021 we had changed the contact details for our Whistleblowing Hotline as the existing supplier has merged with a second provider; we have been migrated to the new suppliers platform.,25,Big Yellow Group,['supplier'],FALSE,0
"These suppliers deliver creative and marketing services, legal and financial services, as well as the full range of real estate products and services, such as planning advice, architectural services, project management for construction, cleaning, and maintenance.",25,Big Yellow Group,['supplier'],FALSE,0
"We have adopted one Sustainable Development Goal that best reflects how we address our Suppliers Responsibilities, namely: Healthy lives and wellbeing for all ages We have been working hard to keep all of our suppliers safe during the Pandemic.",25,Big Yellow Group,['supplier'],FALSE,0
"We have been recognized as a Supplier Engagement Leader by the Carbon Disclosure project We have conducted a spendbased Scope 3 Footprint assessment We have successfully rolled out our Invoice Approval and Processing software, which utilises Optical Character Recognition technology to automatically capture invoice data, significantly increasing our capacity to process invoices.",25,Big Yellow Group,['supplier'],TRUE,2
"Following CDPs 2020 global score release, companies responding to the full version of the CDP climate change questionnaire also receive a Supplier Engagement Rating (SER) in addition to their climate change score.",26,Big Yellow Group,['supplier'],FALSE,0
"Prompt payment is especially important to our smaller suppliers, who may not have the cash flow to do well with very long payment terms.",26,Big Yellow Group,['supplier'],FALSE,0
"The Code administrators will approach signatories to discuss supplier concerns received directly from a supplier, from a third party, or from intelligence received.",26,Big Yellow Group,['supplier'],FALSE,0
"The SER provides a rating for how effectively companies are engaging their suppliers on climate change; CDP assesses performance on supplier engagement using a companys response to selected questions on governance, targets, Scope 3 emissions, and value chain engagement in the CDP climate change questionnaire.",26,Big Yellow Group,"['supplier', 'value chain']",FALSE,0
The companies with the best SER are celebrated as Supplier Engagement Leaders which this year is the top 7% of companies who disclosed to the full climate questionnaire we were recognised as a Supplier Engagement Leader in February 2021.,26,Big Yellow Group,['supplier'],FALSE,0
This will require us to capture the number of employees our suppliers employ and will need to be incorporated into our processes and systems.,26,Big Yellow Group,['supplier'],FALSE,0
Assessing our Scope 3 Footprint was a necessary first step to understand material aspects of our extended value chain.,27,Big Yellow Group,['value chain'],FALSE,0
"Especially within Construction and Facility Management, which involves significant manual labour, we want to make sure our suppliers employees enjoy the same consideration for their health and safety that we extend to our employees and customers.",27,Big Yellow Group,['supplier'],FALSE,0
"The Scope 3 Footprinting activity looks to understand, define, and quantify the emissions in each of the 15 Scope 3 categories as defined by the GHG Protocol Value Chain guidance.",27,Big Yellow Group,['value chain'],FALSE,0
"We continue to engage with high risk suppliers directly; our initial approach is and will remain collaborative, as we see the opportunities to support our suppliers in making the necessary adjustments.",27,Big Yellow Group,['supplier'],FALSE,0
We switched Whistleblowing Helpline suppliers in February 2021 all suppliers will be asked to download the new guide / poster and replace the old one.,27,Big Yellow Group,['supplier'],FALSE,0
Next steps Work with water supplier to further improve water data quality and completeness.,35,Big Yellow Group,['supplier'],FALSE,0
We had hoped that our water supplier would be able to conduct more readings themselves; due to the Pandemic this has not been possible.,41,Big Yellow Group,['supplier'],FALSE,0
Next steps We will continue to engage with our suppliers to identify solutions to topics such as black shrink wrap currently not being recyclable.,44,Big Yellow Group,['supplier'],TRUE,3
"For audit and supervision, we have a whistleblower protection system and have implemented policies on audit and supervision and anticorruption among suppliers, thirdparty agents, and intermediaries to ensure compliant and effective corporate governance.",18,CNOOC Limited,['supplier'],FALSE,0
And we endeavour to guarantee stable supply of oil and gas by focusing on stabilising and sustaining the supply chain.,26,CNOOC Limited,['supply chain'],FALSE,0
Enhancing global market research and extending supply chain.,28,CNOOC Limited,['supply chain'],FALSE,0
"Measures Maintaining good cooperative relations with major suppliers, and actively developed new suppliers to ensure the sufficiency of supply and promote competition.",28,CNOOC Limited,['supplier'],FALSE,0
Risk of high supplier centralization Major suppliers of the company accounted for a relatively high proportion of purchases.,28,CNOOC Limited,['supplier'],FALSE,0
"When major suppliers couldnt continue their services due to accidental factors, and we could not seek for suitable alternatives, our businesses would be disrupted, thereby our performance would be adversely affected.",28,CNOOC Limited,['supplier'],FALSE,0
All of the subcompanies share the registered supplier resources and the wholeprocess management information on suppliers.,34,CNOOC Limited,['supplier'],FALSE,0
"As at the end of December 2021, we had approximately 3,300 suppliers, including more than 280 overseas suppliers.",34,CNOOC Limited,['supplier'],FALSE,0
"CNOOC Limited has formulated and published the Implementing Rules for Internal Control Audit, which defines the details on reviewing the completeness and efficiency of the system in the qualification approval and evaluation of suppliers and the management of bid evaluation experts.",34,CNOOC Limited,['supplier'],FALSE,0
"In 2021, considering the needs of business development and current situation, the Company has reinforced the management of suppliers: Supplier evaluation and grading CNOOC Limited managed all processes, ranging from supplier registration, admission, classification and grading, qualification appraisal, performance evaluation to withdrawal, and conducted annual performance evaluations of listed suppliers, including but not limited to product quality and the implementation of the HSE system.",34,CNOOC Limited,['supplier'],FALSE,0
"In 2021, we continued supplier registration and suppliers list management.",34,CNOOC Limited,['supplier'],FALSE,0
Registered suppliers are entitled to participate in purchase of CNOOC Limited.,34,CNOOC Limited,['supplier'],FALSE,0
Suppliers who fail the annual performance evaluation would be removed from the supplier list.,34,CNOOC Limited,['supplier'],FALSE,0
Suppliers who sign the purchase contract and excellent suppliers developed by the Company can be listed in the Companys supplier list.,34,CNOOC Limited,['supplier'],FALSE,0
"Supply Chain Management In 2021, in accordance with laws and regulations such as the Law of the Peoples Republic of China on Tenders and Bids, on the basis of the Policy on Supply Chain Management, CNOOC Limited formulated the Supplier Management Implementation Rules, specifying standards and procedures for the classification, grading and handling of suppliers to avoid suppliers ESG risks.",34,CNOOC Limited,"['supplier', 'supply chain']",TRUE,2
"We issued the Management Rules for Handling Complaints in Tendering and Bidding Activities, standardising the procedures for handling supplier complaints in purchase, and specifying the strict confidentiality measures for complaints to safeguard the rights and interests of suppliers.",34,CNOOC Limited,['supplier'],FALSE,0
"Besides, various methods, standards and processes were developed for addressing supplier risks.",35,CNOOC Limited,['supplier'],FALSE,0
"In 2021, we held eight communication meetings with suppliers in total to familiarise them with our regulations on relevant management system and compliance requirements.",35,CNOOC Limited,['supplier'],FALSE,0
"Integrity requirements for suppliers CNOOC Limited released an open letter to all suppliers on the official website, which emphasised the requirements of integrity, selfdiscipline, honest business and strict compliance management during bidding and procurement, and increased the penalties for illegality and violations of disciplines.",35,CNOOC Limited,['supplier'],FALSE,0
"Requirements of environmental protection and energy saving for suppliers CNOOC Limited provided proper favourable policies to suppliers of green, ecofriendly and energysaving products in the system setting.",35,CNOOC Limited,['supplier'],TRUE,2
"The contracts between CNOOC Limited and suppliers required them to jointly abide by relevant regulations on integrity and professional ethics, with the Memorandum on Integrity being attached.",35,CNOOC Limited,['supplier'],FALSE,0
"We also invited qualified inspection agencies to compile energysaving reports on fixed asset investment projects, and analysed the energysaving measures, the utilisation of energy and efficiency level as well as the impact brought by energy consumption, so as to urge suppliers to improve their energysaving capacities.",35,CNOOC Limited,['supplier'],TRUE,2
"We devoted more efforts to identifying supplier environment and social risks, and invited thirdparties to sort out and inspect suppliers latest operation, interrelationships and credit risks, so as to expel those with abnormal operation and high credit risks.",35,CNOOC Limited,['supplier'],TRUE,2
"We have hierarchical managementheadquarters, subsidiary companies and business units and an internal control 10 Inspection, Audit and Management Evaluation 1 Leadership and Responsibilities ACT PLAN 2 Organisation, Personnel and Safety Culture 9 Accident Management 8 Crisis and Emergency Management HSE Concepts Risk Assessment and Management 3 CHECK DO Information Communication and Sharing 7 Supplier Management 4 Implementation and Operations Design and Construction 6 5 35 mechanism for quality, health, safety and environmental protection (QHSE), consisting of one basic system, 23 administrative measures and 49 management regulations.",38,CNOOC Limited,['supplier'],FALSE,0
"In response to the NSTD, CNOOC UK prepares to set up a management system to build supply chains of net zero emissions and create a more sustainable workplace and enterprise culture.",57,CNOOC Limited,['supply chain'],FALSE,0
"NSTD aims to provide support to businesses and supply chains in their transition to a lowcarbon future through the oil and gas industry, and sets a series of goals including reducing greenhouse gas emissions by 10% by 2025, 25% by 2027 and 50% by 2030.",57,CNOOC Limited,['supply chain'],FALSE,0
General Disclosure Policies on managing environmental and social risks of the supply chain.,87,CNOOC Limited,['supply chain'],FALSE,0
"Both estates continue to see a small proportion of energy from nonrenewable energy suppliers, this arises principally where tenancies expire with nonrenewable supplies in place.",5,Capital & Counties Properties PLC,['supplier'],FALSE,0
Total electricity consumption Total electricity purchased from utility suppliers from nonrenewable energy sources Total electricity purchased from utility suppliers from renewable energy sources Total & proportion of electricity selfgenerated Likeforlike (LfL) electricity consumption (EPRA ref.,5,Capital & Counties Properties PLC,['supplier'],FALSE,0
Indirect marketbased emissions have been calculated using emission factors sourced directly from suppliers.,8,Capital & Counties Properties PLC,['supplier'],FALSE,0
Our training programme ensures a strong health and safety culture remains embedded in our organisation and is communicated to our supply chain.,21,Capital & Counties Properties PLC,['supply chain'],FALSE,0
"Close to 70% of CLIs supply chain providers are located within the local core markets for CLI, namely Singapore, China, and India.",8,Capitaland Investment,['supply chain'],FALSE,0
"In the face of challenging operating environment, we also ensured business continuity with the diversification of our supply chain.",8,Capitaland Investment,['supply chain'],FALSE,0
We are pleased that 100% of our contractors and vendors have committed to abide by CapitaLands Supply Chain Code of Conduct.,8,Capitaland Investment,['supply chain'],FALSE,0
"Through this report, CLI hopes to share its sustainability commitment with its various stakeholders, including staff, investors, customers, business partners, supply chain partners and contractors, the community, and local authorities.",9,Capitaland Investment,['supply chain'],FALSE,0
"CLI believes that regardless of ethnicity, age or gender, staff can make a significant contribution based on their talent, expertise and experience Signatory to the UN Global Compact Aim to provide a work environment that is safe and contributes to the general wellbeing of its staff, tenants, contractors, suppliers and the communities that use its properties Influence its supply chain to operate responsibly in the areas of anticorruption, human rights, health and safety, as well as environmental management through CapitaLands Supply Chain Code of Conduct Require service providers and vendors to adhere to antibribery and anticorruption provisions Commit to activities that are aligned with its focus on community investment.",14,Capitaland Investment,"['supplier', 'supply chain']",FALSE,0
"Key stakeholders include staff, investors/shareholders, customers, business associates, builders and suppliers, and the local community.",16,Capitaland Investment,['supplier'],FALSE,0
"This policy is readily available to all staff, suppliers, service providers and partners.",23,Capitaland Investment,['supplier'],FALSE,0
"However, data in certain countries and properties is not readily available or cannot be consolidated due to local supply chain challenges.",32,Capitaland Investment,['supply chain'],FALSE,0
"The occupational health and safety (OHS) of CapitaLand Investments (CLI) staff, tenants, supply chain partners, and the communities who use its properties, is of utmost importance to CLI.",34,Capitaland Investment,['supply chain'],FALSE,0
"It actively engages its staff, tenants, supply chain partners as well as the wider community to promote total wellbeing, health and safety.",37,Capitaland Investment,['supply chain'],FALSE,0
"Human Capital SOCIAL Supply Chain Management CLI works closely with its contractors and suppliers who are committed to high quality environmental, health and safety standards.",39,Capitaland Investment,"['supplier', 'supply chain']",FALSE,0
"In 2021, 100%9 of CLIs supply chain agreed to abide by the CapitaLand Supply Chain Code of Conduct.",39,Capitaland Investment,['supply chain'],FALSE,0
"Onsite COVID19 Antigen Rapid Test (ART) by term contractors Review and Engagement of CapitaLands Supply Chain In the 2020 supply chain baseline study conducted by CapitaLand, it engaged its business units on the importance of influencing its supply chain on sustainability matters for its entire operational portfolio and development objective was also to better understand the presence of migrant workers within the CapitaLand supply chain, and the onsite provision of facilities for its contractors workers10.",39,Capitaland Investment,['supply chain'],FALSE,0
The study found that migrant workers were present in some markets within the CapitaLand supply chain.,39,Capitaland Investment,['supply chain'],FALSE,0
The tests are an important measure for these frontfacing supply chain partners as it helps contain and mitigate the COVID19 spread.,39,Capitaland Investment,['supply chain'],FALSE,0
This includes supply chain complying with their own code of conduct which is equivalent or more stringent than CapitaLand Supply Chain Code of Conduct.,39,Capitaland Investment,['supply chain'],FALSE,0
"To influence supply chain partners to operate responsibly in the areas of anticorruption, human rights, health and safety, as well as environmental management, the CLI Procurement Policy and the CapitaLand Supply Chain Code of Conduct form the basis of CLIs engagement with them.",39,Capitaland Investment,['supply chain'],FALSE,0
Human Capital SOCIAL Supply Chain contractors in operational properties CLIs contractor management guidelines require all contractors to comply with local government and other legal requirements.,40,Capitaland Investment,['supply chain'],FALSE,0
"CLIs key stakeholders include employees, customers, business associates, suppliers, and the local community.",48,Capitaland Investment,['supplier'],FALSE,0
CLI also procure goods and services from a diversified network of supply chain.,50,Capitaland Investment,['supply chain'],FALSE,0
"CLI identified critical suppliers as highspend suppliers, nonsubstitutable suppliers or critical business component suppliers such as term contractors providing facility maintenance and property management services, IT service providers and contractors for construction works.",50,Capitaland Investment,['supplier'],FALSE,0
CLIs supply chain providers (suppliers) are assessed during the admission and prequalification stage for demonstrated ability to align with CLIs sustainability practices.,50,Capitaland Investment,"['supplier', 'supply chain']",FALSE,0
