file_name,GT
BMW Sustainability Report 2020.pdf200001-20.png,1
BMW Sustainability Report 2020.pdf640001-64.png,1
BMW Sustainability Report 2020.pdf690001-69.png,0
BMW Sustainability Report 2020.pdf730001-73.png,0
BMW Sustainability Report 2021.pdf1080001-108.png,0
BMW Sustainability Report 2021.pdf1090001-109.png,0
BMW Sustainability Report 2021.pdf1130001-113.png,0
BMW Sustainability Report 2021.pdf1160001-116.png,0
BMW Sustainability Report 2021.pdf450001-045.png,1
BMW Sustainability Report 2021.pdf90001-009.png,1
BMW Sustainability Report 2021.pdf960001-096.png,1
Ford Sustainability Report 2020.pdf330001-33.png,0
Ford Sustainability Report 2020.pdf340001-34.png,0
Ford Sustainability Report 2020.pdf460001-46.png,0
Ford Sustainability Report 2021.pdf120001-12.png,0
Ford Sustainability Report 2021.pdf40001-04.png,0
Ford Sustainability Report 2021.pdf410001-41.png,0
Ford Sustainability Report 2021.pdf450001-45.png,0
Ford Sustainability Report 2021.pdf510001-51.png,1
Ford Sustainability Report 2021.pdf560001-56.png,0
GMC Sustainability Report 2019.pdf1000001-100.png,0
GMC Sustainability Report 2019.pdf100001-010.png,0
GMC Sustainability Report 2019.pdf110001-011.png,0
GMC Sustainability Report 2019.pdf1300001-130.png,0
GMC Sustainability Report 2019.pdf1360001-136.png,0
GMC Sustainability Report 2019.pdf1370001-137.png,0
GMC Sustainability Report 2019.pdf1470001-147.png,0
GMC Sustainability Report 2019.pdf1540001-154.png,0
GMC Sustainability Report 2019.pdf1550001-155.png,1
GMC Sustainability Report 2019.pdf1680001-168.png,1
GMC Sustainability Report 2019.pdf1720001-172.png,1
GMC Sustainability Report 2019.pdf1730001-173.png,1
GMC Sustainability Report 2019.pdf1740001-174.png,0
GMC Sustainability Report 2019.pdf1770001-177.png,0
GMC Sustainability Report 2019.pdf1780001-178.png,0
GMC Sustainability Report 2019.pdf310001-031.png,0
GMC Sustainability Report 2019.pdf340001-034.png,0
GMC Sustainability Report 2019.pdf440001-044.png,1
GMC Sustainability Report 2019.pdf920001-092.png,0
GMC Sustainability Report 2019.pdf930001-093.png,0
GMC Sustainability Report 2020.pdf100001-010.png,0
GMC Sustainability Report 2020.pdf1860001-186.png,0
GMC Sustainability Report 2020.pdf1870001-187.png,0
GMC Sustainability Report 2020.pdf1970001-197.png,0
GMC Sustainability Report 2020.pdf2040001-204.png,0
GMC Sustainability Report 2020.pdf2050001-205.png,1
GMC Sustainability Report 2020.pdf2210001-221.png,1
GMC Sustainability Report 2020.pdf2250001-225.png,1
GMC Sustainability Report 2020.pdf2260001-226.png,0
GMC Sustainability Report 2020.pdf2280001-228.png,0
GMC Sustainability Report 2020.pdf2290001-229.png,1
GMC Sustainability Report 2020.pdf2300001-230.png,0
GMC Sustainability Report 2020.pdf270001-027.png,0
GMC Sustainability Report 2020.pdf470001-047.png,0
GMC Sustainability Report 2020.pdf610001-061.png,1
GMC Sustainability Report 2020.pdf90001-009.png,0
GMC Sustainability Report 2021.pdf1190001-119.png,0
GMC Sustainability Report 2021.pdf120001-012.png,0
GMC Sustainability Report 2021.pdf160001-016.png,0
GMC Sustainability Report 2021.pdf250001-025.png,0
GMC Sustainability Report 2021.pdf260001-026.png,0
GMC Sustainability Report 2021.pdf280001-028.png,0
GMC Sustainability Report 2021.pdf300001-030.png,1
GMC Sustainability Report 2021.pdf870001-087.png,0
GMC Sustainability Report 2021.pdf880001-088.png,0
GMC Sustainability Report 2021.pdf900001-090.png,0
Honda Sustainability Report 2019.pdf1450001-145.png,0
Honda Sustainability Report 2019.pdf1520001-152.png,0
Honda Sustainability Report 2019.pdf600001-060.png,1
Honda Sustainability Report 2019.pdf610001-061.png,0
Honda Sustainability Report 2019.pdf620001-062.png,1
Honda Sustainability Report 2019.pdf630001-063.png,1
Honda Sustainability Report 2019.pdf640001-064.png,1
Honda Sustainability Report 2020.pdf1590001-159.png,0
Honda Sustainability Report 2020.pdf1660001-166.png,0
Honda Sustainability Report 2020.pdf730001-073.png,1
Honda Sustainability Report 2020.pdf740001-074.png,0
Honda Sustainability Report 2020.pdf750001-075.png,1
Honda Sustainability Report 2020.pdf760001-076.png,1
Honda Sustainability Report 2020.pdf770001-077.png,1
Honda Sustainability Report 2021.pdf1580001-158.png,0
Honda Sustainability Report 2021.pdf1650001-165.png,0
Honda Sustainability Report 2021.pdf700001-070.png,1
Honda Sustainability Report 2021.pdf710001-071.png,0
Honda Sustainability Report 2021.pdf720001-072.png,1
Honda Sustainability Report 2021.pdf730001-073.png,1
Honda Sustainability Report 2021.pdf740001-074.png,1
Hyundai Sustainability Report 2019.pdf1110001-111.png,1
Hyundai Sustainability Report 2019.pdf1190001-119.png,0
Hyundai Sustainability Report 2019.pdf1230001-123.png,0
Hyundai Sustainability Report 2019.pdf630001-063.png,0
Hyundai Sustainability Report 2020.pdf1000001-100.png,0
Hyundai Sustainability Report 2020.pdf1010001-101.png,0
Hyundai Sustainability Report 2020.pdf1020001-102.png,0
Hyundai Sustainability Report 2020.pdf1030001-103.png,0
Hyundai Sustainability Report 2020.pdf280001-028.png,0
Hyundai Sustainability Report 2020.pdf370001-037.png,0
Hyundai Sustainability Report 2020.pdf840001-084.png,1
Hyundai Sustainability Report 2020.pdf850001-085.png,1
Hyundai Sustainability Report 2020.pdf950001-095.png,0
Hyundai Sustainability Report 2021.pdf1030001-103.png,0
Hyundai Sustainability Report 2021.pdf1040001-104.png,1
Hyundai Sustainability Report 2021.pdf1050001-105.png,0
Hyundai Sustainability Report 2021.pdf1060001-106.png,0
Hyundai Sustainability Report 2021.pdf220001-022.png,1
Hyundai Sustainability Report 2021.pdf520001-052.png,0
Nissan Sustainability Report 2019.pdf1100001-110.png,0
Nissan Sustainability Report 2019.pdf2580001-258.png,1
Nissan Sustainability Report 2019.pdf2600001-260.png,1
Nissan Sustainability Report 2019.pdf2630001-263.png,1
Nissan Sustainability Report 2019.pdf3110001-311.png,0
Nissan Sustainability Report 2019.pdf540001-054.png,0
Nissan Sustainability Report 2019.pdf800001-080.png,1
Nissan Sustainability Report 2020.pdf1020001-102.png,0
Nissan Sustainability Report 2020.pdf2200001-220.png,1
Nissan Sustainability Report 2020.pdf2210001-221.png,0
Nissan Sustainability Report 2020.pdf2230001-223.png,0
Nissan Sustainability Report 2020.pdf2480001-248.png,0
Nissan Sustainability Report 2020.pdf2490001-249.png,0
Nissan Sustainability Report 2020.pdf590001-059.png,0
Nissan Sustainability Report 2020.pdf790001-079.png,0
Nissan Sustainability Report 2021.pdf1040001-104.png,0
Nissan Sustainability Report 2021.pdf2350001-235.png,1
Nissan Sustainability Report 2021.pdf2360001-236.png,1
Nissan Sustainability Report 2021.pdf2380001-238.png,0
Nissan Sustainability Report 2021.pdf2630001-263.png,0
Nissan Sustainability Report 2021.pdf2670001-267.png,0
Nissan Sustainability Report 2021.pdf2680001-268.png,0
Nissan Sustainability Report 2021.pdf530001-053.png,0
Nissan Sustainability Report 2021.pdf790001-079.png,1
Stellantis Sustainability Report 2019.pdf1010001-101.png,0
Stellantis Sustainability Report 2019.pdf1060001-106.png,0
Stellantis Sustainability Report 2019.pdf1110001-111.png,0
Stellantis Sustainability Report 2019.pdf1280001-128.png,1
Stellantis Sustainability Report 2019.pdf1290001-129.png,1
Stellantis Sustainability Report 2019.pdf1520001-152.png,0
Stellantis Sustainability Report 2019.pdf1530001-153.png,0
Stellantis Sustainability Report 2019.pdf30001-003.png,0
Stellantis Sustainability Report 2019.pdf880001-088.png,0
Stellantis Sustainability Report 2020.pdf1030001-103.png,0
Stellantis Sustainability Report 2020.pdf1110001-111.png,0
Stellantis Sustainability Report 2020.pdf1330001-133.png,1
Stellantis Sustainability Report 2020.pdf1340001-134.png,1
Stellantis Sustainability Report 2020.pdf1490001-149.png,0
Stellantis Sustainability Report 2020.pdf1550001-155.png,0
Stellantis Sustainability Report 2020.pdf1560001-156.png,0
Stellantis Sustainability Report 2020.pdf910001-091.png,0
Stellantis Sustainability Report 2021.pdf230001-023.png,0
Stellantis Sustainability Report 2021.pdf2720001-272.png,0
Stellantis Sustainability Report 2021.pdf280001-028.png,0
Stellantis Sustainability Report 2021.pdf3070001-307.png,0
Stellantis Sustainability Report 2021.pdf3150001-315.png,0
Stellantis Sustainability Report 2021.pdf3460001-346.png,0
Stellantis Sustainability Report 2021.pdf380001-038.png,0
Stellantis Sustainability Report 2021.pdf390001-039.png,0
Stellantis Sustainability Report 2021.pdf400001-040.png,0
Stellantis Sustainability Report 2021.pdf420001-042.png,0
Stellantis Sustainability Report 2021.pdf700001-070.png,0
Stellantis Sustainability Report 2021.pdf740001-074.png,1
Stellantis Sustainability Report 2021.pdf750001-075.png,0
Stellantis Sustainability Report 2021.pdf780001-078.png,1
Stellantis Sustainability Report 2021.pdf790001-079.png,0
Stellantis Sustainability Report 2021.pdf830001-083.png,0
Subaru CSR Report 2019.pdf1160001-116.png,0
Subaru CSR Report 2019.pdf1210001-121.png,0
Subaru CSR Report 2019.pdf1260001-126.png,0
Subaru CSR Report 2019.pdf130001-013.png,0
Subaru CSR Report 2019.pdf1350001-135.png,0
Subaru CSR Report 2019.pdf1390001-139.png,0
Subaru CSR Report 2019.pdf1400001-140.png,1
Subaru CSR Report 2019.pdf1410001-141.png,1
Subaru CSR Report 2019.pdf1500001-150.png,0
Subaru CSR Report 2019.pdf2710001-271.png,0
Subaru CSR Report 2019.pdf2720001-272.png,0
Subaru CSR Report 2019.pdf2730001-273.png,0
Subaru CSR Report 2019.pdf320001-032.png,0
Subaru CSR Report 2019.pdf430001-043.png,0
Subaru CSR Report 2020.pdf1660001-166.png,0
Subaru CSR Report 2020.pdf1670001-167.png,0
Subaru CSR Report 2020.pdf290001-029.png,0
Subaru CSR Report 2020.pdf420001-042.png,0
Subaru CSR Report 2020.pdf490001-049.png,0
Subaru CSR Report 2020.pdf500001-050.png,0
Subaru CSR Report 2020.pdf510001-051.png,1
Subaru Sustainability Report 2021.pdf1560001-156.png,0
Subaru Sustainability Report 2021.pdf1690001-169.png,0
Subaru Sustainability Report 2021.pdf1700001-170.png,0
Subaru Sustainability Report 2021.pdf1780001-178.png,0
Subaru Sustainability Report 2021.pdf370001-037.png,0
Subaru Sustainability Report 2021.pdf420001-042.png,1
Subaru Sustainability Report 2021.pdf510001-051.png,0
Subaru Sustainability Report 2021.pdf530001-053.png,1
Subaru Sustainability Report 2021.pdf540001-054.png,1
2021-report-on-sustainability-en.pdf100001-10.png,1
2021-report-on-sustainability-en.pdf140001-14.png,1
2021-report-on-sustainability-en.pdf580001-58.png,1
2021-report-on-sustainability-en.pdf660001-66.png,0
2021-report-on-sustainability-en.pdf670001-67.png,0
2021-report-on-sustainability-en.pdf730001-73.png,0
2021-report-on-sustainability-en.pdf750001-75.png,0
2021-report-on-sustainability-en.pdf820001-82.png,0
2021-sustainability-report-.pdf1150001-115.png,1
2021-sustainability-report-.pdf120001-012.png,0
2021-sustainability-report-.pdf1230001-123.png,0
2021-sustainability-report-.pdf1310001-131.png,0
2021-sustainability-report-.pdf1390001-139.png,0
2021-sustainability-report-.pdf1410001-141.png,0
2021-sustainability-report-.pdf150001-015.png,0
2021-sustainability-report-.pdf200001-020.png,0
2021-sustainability-report-.pdf220001-022.png,0
2021-sustainability-report-.pdf230001-023.png,0
2021-sustainability-report-.pdf250001-025.png,0
2021-sustainability-report-.pdf260001-026.png,0
2021-sustainability-report-.pdf270001-027.png,1
2021-sustainability-report-.pdf40001-004.png,0
2021-sustainability-report-.pdf730001-073.png,0
2021-sustainability-report-web.pdf110001-11.png,0
2021-sustainability-report-web.pdf200001-20.png,0
2021-sustainability-report-web.pdf230001-23.png,0
2021-sustainability-report-web.pdf40001-04.png,0
2021-sustainability-report-web.pdf550001-55.png,0
2021-sustainability-report-web.pdf560001-56.png,1
2021-sustainability-report-web.pdf570001-57.png,1
2021-sustainability-report-web.pdf60001-06.png,0
2021-sustainability-report-web.pdf610001-61.png,0
2021-sustainability-report-web.pdf620001-62.png,0
2021-sustainability-report-web.pdf630001-63.png,0
2021-sustainability-report-web.pdf660001-66.png,0
592422.pdf130001-13.png,0
592422.pdf170001-17.png,0
592422.pdf200001-20.png,0
592422.pdf230001-23.png,1
592422.pdf40001-04.png,0
592422.pdf700001-70.png,0
592422.pdf720001-72.png,0
592422.pdf730001-73.png,0
592422.pdf750001-75.png,1
592422.pdf760001-76.png,1
bp-sustainability-report-2021.pdf210001-21.png,0
bp-sustainability-report-2021.pdf240001-24.png,1
bp-sustainability-report-2021.pdf250001-25.png,1
bp-sustainability-report-2021.pdf30001-03.png,0
bp-sustainability-report-2021.pdf320001-32.png,0
bp-sustainability-report-2021.pdf40001-04.png,0
bp-sustainability-report-2021.pdf590001-59.png,0
chevron-sustainability-report-2021.pdf160001-16.png,0
chevron-sustainability-report-2021.pdf170001-17.png,0
chevron-sustainability-report-2021.pdf180001-18.png,0
chevron-sustainability-report-2021.pdf190001-19.png,0
chevron-sustainability-report-2021.pdf530001-53.png,0
chevron-sustainability-report-2021.pdf610001-61.png,0
chevron-sustainability-report-2021.pdf630001-63.png,1
chevron-sustainability-report-2021.pdf640001-64.png,1
chevron-sustainability-report-2021.pdf650001-65.png,1
chevron-sustainability-report-2021.pdf660001-66.png,1
chevron-sustainability-report-2021.pdf70001-07.png,0
chevron-sustainability-report-2021.pdf760001-76.png,0
chevron-sustainability-report-2021.pdf800001-80.png,0
chevron-sustainability-report-2021.pdf810001-81.png,0
eni-for-2021-just-transition-eng.pdf1100001-110.png,0
eni-for-2021-just-transition-eng.pdf1130001-113.png,0
eni-for-2021-just-transition-eng.pdf1140001-114.png,0
eni-for-2021-just-transition-eng.pdf130001-013.png,0
eni-for-2021-just-transition-eng.pdf170001-017.png,0
eni-for-2021-just-transition-eng.pdf220001-022.png,0
eni-for-2021-just-transition-eng.pdf230001-023.png,0
eni-for-2021-just-transition-eng.pdf350001-035.png,0
eni-for-2021-just-transition-eng.pdf400001-040.png,0
eni-for-2021-just-transition-eng.pdf420001-042.png,0
eni-for-2021-just-transition-eng.pdf430001-043.png,1
eni-for-2021-just-transition-eng.pdf70001-007.png,0
eni-for-2021-just-transition-eng.pdf80001-008.png,0
eni-for-2021-just-transition-eng.pdf90001-009.png,0
imp-0020-sustainability-report_final_web_march-29.pdf1200001-120.png,0
imp-0020-sustainability-report_final_web_march-29.pdf20001-002.png,0
imp-0020-sustainability-report_final_web_march-29.pdf540001-054.png,0
imp-0020-sustainability-report_final_web_march-29.pdf550001-055.png,0
imp-0020-sustainability-report_final_web_march-29.pdf560001-056.png,0
imp-0020-sustainability-report_final_web_march-29.pdf570001-057.png,0
integrated-management-report-2021.pdf200001-020.png,0
integrated-management-report-2021.pdf2030001-203.png,0
integrated-management-report-2021.pdf2070001-207.png,0
integrated-management-report-2021.pdf2130001-213.png,0
integrated-management-report-2021.pdf2160001-216.png,0
integrated-management-report-2021.pdf2170001-217.png,0
integrated-management-report-2021.pdf370001-037.png,1
integrated-management-report-2021.pdf390001-039.png,1
integrated-management-report-2021.pdf410001-041.png,1
integrated-management-report-2021.pdf460001-046.png,1
integrated-management-report-2021.pdf470001-047.png,1
integrated-management-report-2021.pdf500001-050.png,1
integrated-management-report-2021.pdf510001-051.png,1
integrated-management-report-2021.pdf520001-052.png,1
integrated-management-report-2021.pdf540001-054.png,1
integrated-management-report-2021.pdf580001-058.png,1
integrated-management-report-2021.pdf610001-061.png,0
integrated-management-report-2021.pdf620001-062.png,0
integrated-management-report-2021.pdf660001-066.png,0
integrated-management-report-2021.pdf700001-070.png,0
integrated-management-report-2021.pdf760001-076.png,1
integrated-management-report-2021.pdf770001-077.png,1
integrated-management-report-2021.pdf780001-078.png,1
integrated-management-report-2021.pdf790001-079.png,1
NYSE_RDS_2021-unlocked.pdf1000001-100.png,1
NYSE_RDS_2021-unlocked.pdf1010001-101.png,0
NYSE_RDS_2021-unlocked.pdf120001-012.png,0
NYSE_RDS_2021-unlocked.pdf1440001-144.png,0
NYSE_RDS_2021-unlocked.pdf1460001-146.png,0
NYSE_RDS_2021-unlocked.pdf150001-015.png,0
NYSE_RDS_2021-unlocked.pdf1630001-163.png,0
NYSE_RDS_2021-unlocked.pdf1710001-171.png,0
NYSE_RDS_2021-unlocked.pdf1730001-173.png,0
NYSE_RDS_2021-unlocked.pdf1790001-179.png,0
NYSE_RDS_2021-unlocked.pdf180001-018.png,0
NYSE_RDS_2021-unlocked.pdf2120001-212.png,0
NYSE_RDS_2021-unlocked.pdf2150001-215.png,0
NYSE_RDS_2021-unlocked.pdf2180001-218.png,0
NYSE_RDS_2021-unlocked.pdf2190001-219.png,0
NYSE_RDS_2021-unlocked.pdf220001-022.png,0
NYSE_RDS_2021-unlocked.pdf240001-024.png,0
NYSE_RDS_2021-unlocked.pdf2450001-245.png,0
NYSE_RDS_2021-unlocked.pdf2470001-247.png,0
NYSE_RDS_2021-unlocked.pdf260001-026.png,0
NYSE_RDS_2021-unlocked.pdf30001-003.png,0
NYSE_RDS_2021-unlocked.pdf70001-007.png,0
NYSE_RDS_2021-unlocked.pdf800001-080.png,0
NYSE_RDS_2021-unlocked.pdf840001-084.png,0
NYSE_RDS_2021-unlocked.pdf860001-086.png,0
NYSE_RDS_2021-unlocked.pdf890001-089.png,0
NYSE_RDS_2021-unlocked.pdf920001-092.png,0
NYSE_RDS_2021-unlocked.pdf940001-094.png,1
NYSE_RDS_2021-unlocked.pdf950001-095.png,1
NYSE_RDS_2021-unlocked.pdf960001-096.png,1
NYSE_RDS_2021-unlocked.pdf970001-097.png,0
NYSE_RDS_2021-unlocked.pdf980001-098.png,1
NYSE_RDS_2021-unlocked.pdf990001-099.png,0
NYSE_RDS_2021.pdf1000001-100.png,1
NYSE_RDS_2021.pdf1010001-101.png,0
NYSE_RDS_2021.pdf120001-012.png,0
NYSE_RDS_2021.pdf1440001-144.png,0
NYSE_RDS_2021.pdf1460001-146.png,0
NYSE_RDS_2021.pdf150001-015.png,0
NYSE_RDS_2021.pdf1630001-163.png,0
NYSE_RDS_2021.pdf1710001-171.png,0
NYSE_RDS_2021.pdf1730001-173.png,0
NYSE_RDS_2021.pdf1790001-179.png,0
NYSE_RDS_2021.pdf180001-018.png,0
NYSE_RDS_2021.pdf2120001-212.png,0
NYSE_RDS_2021.pdf2150001-215.png,0
NYSE_RDS_2021.pdf2180001-218.png,0
NYSE_RDS_2021.pdf2190001-219.png,0
NYSE_RDS_2021.pdf220001-022.png,0
NYSE_RDS_2021.pdf240001-024.png,0
NYSE_RDS_2021.pdf2450001-245.png,0
NYSE_RDS_2021.pdf2470001-247.png,0
NYSE_RDS_2021.pdf260001-026.png,0
NYSE_RDS_2021.pdf30001-003.png,0
NYSE_RDS_2021.pdf70001-007.png,0
NYSE_RDS_2021.pdf800001-080.png,0
NYSE_RDS_2021.pdf840001-084.png,0
NYSE_RDS_2021.pdf860001-086.png,0
NYSE_RDS_2021.pdf890001-089.png,0
NYSE_RDS_2021.pdf920001-092.png,0
NYSE_RDS_2021.pdf940001-094.png,1
NYSE_RDS_2021.pdf950001-095.png,1
NYSE_RDS_2021.pdf960001-096.png,1
NYSE_RDS_2021.pdf970001-097.png,0
NYSE_RDS_2021.pdf980001-098.png,1
NYSE_RDS_2021.pdf990001-099.png,0
Sustainability Report 2021.pdf1130001-113.png,0
Sustainability Report 2021.pdf1180001-118.png,1
Sustainability Report 2021.pdf1240001-124.png,1
Sustainability Report 2021.pdf1250001-125.png,1
Sustainability Report 2021.pdf2760001-276.png,0
Sustainability Report 2021.pdf2850001-285.png,0
Sustainability Report 2021.pdf30001-003.png,0
Sustainability-Report.pdf100001-10.png,0
Sustainability-Report.pdf420001-42.png,0
Sustainability-Report.pdf70001-07.png,0
Sustainability-Report.pdf90001-09.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf120001-12.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf250001-25.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf260001-26.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf270001-27.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf290001-29.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf300001-30.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf310001-31.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf320001-32.png,1
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf330001-33.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf340001-34.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf350001-35.png,1
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf370001-37.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf380001-38.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf390001-39.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf400001-40.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf410001-41.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf430001-43.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf440001-44.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf450001-45.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf460001-46.png,1
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf50001-05.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf60001-06.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf730001-73.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf770001-77.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf780001-78.png,1
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf80001-08.png,0
Sustainability_Climate_2022_Progress_Report_accessible_version_EN.pdf830001-83.png,0
