sentence,page,keyword(s),Company,Label
"Factors that could cause actual results to differ materially from those contemplated herein include, among others, general economic conditions, hazards customary in the power industry, weather conditions and extreme weather events, competition in wholesale power and gas markets, the volatility of energy and fuel prices, failure of customers or counterparties to perform under contracts, changes in the wholesale power and gas markets, changes in government or market regulations, the condition of capital markets generally, our ability to access capital markets, the potential impact of COVID-19 or any other pandemic on the Companys operations, financial position, risk exposure and liquidity, data privacy, cyberterrorism and inadequate cybersecurity, unanticipated outages at our generation facilities, adverse results in current and future litigation, failure to identify, execute or successfully implement acquisitions or asset sales, our ability to implement value enhancing improvements to plant operations and companywide processes, our ability to achieve our net debt targets, our ability to achieve or maintain investment grade credit metrics, our ability to proceed with projects under development or the inability to complete the construction of such projects on schedule or within budget, the inability to maintain or create successful partnering relationships, our ability to operate our business efficiently, our ability to retain retail customers, our ability to realize value through our market operations strategy, the ability to successfully integrate businesses of acquired companies, including Direct Energy, our ability to realize anticipated benefits of transactions (including expected cost savings and other synergies) or the risk that anticipated benefits may take longer to realize than expected, and our ability to execute our Capital Allocation Plan.",47,['target'],nrg,FALSE
WRI Aqueduct tool is used annually to develop a high level view of basin level risk that informs strategic decision-making and the setting of goals and targets.,50,['target'],nrg,FALSE
"This report also describes how Pacific Current, a sustainable infrastructure investment platform and our newest subsidiary, contributes to our mission to be a catalyst for a better Hawaii, including our commitment to a sustainable future and our states ambitious sustainability goals.",2,['commitment'],hei,FALSE
"In this report we also include our first disclosures aligned with Task Force on Climate-related Financial Disclosures (TCFD) guidance, detailing our governance and risk management processes for identifying, monitoring and managing climate-related risks and opportunities; describing key risks and opportunities we see for our companies and our state as we face a changing climate and related economic, customer and policy dynamics; and outlining key impacts for our companies under two climate scenarios, including a scenario targeted to limit global temperature rise to 2 degrees Celsius or lower.",3,['target'],hei,FALSE
"This second consolidated ESG report provides an update on our ESG efforts and reflects our commitment to continuous improvement, transparency and accountability.",3,['commitment'],hei,FALSE
"Our focus on integrating material ESG and climate-related considerations into our strategies, risk management and operational processes underscores our commitment to creating a more sustainable, resilient company and state for all.",3,['commitment'],hei,FALSE
"As we publish this report, the Biden Administration and leadership of other countries are expected to announce updated climate commitments to hasten the pace of decarbonization around the world.",4,['commitment'],hei,FALSE
At HEI we believe our goals and plans place us on a strong path to reaching net zero carbon emissions by 2045.,4,['2045'],hei,TRUE
"Nationally and globally, among policymakers, investors, environmental stakeholders, corporations, and many others, efforts to accelerate greenhouse gas emission reductions to avoid the worst impacts from climate change have gained significant momentum, with increasing convergence around goals to reach a global net zero emissions target by 2050.",4,"['target', '2050']",hei,FALSE
"In 2015, Hawaii became the first state to set a goal of achieving a 100% renewable portfolio standard (RPS) by 2045, with interim milestones of 30% by 2020, 40% by 2030 and 70% by 2040.",7,"['2040', '2045']",hei,FALSE
Pacific Current has partnered with the University of Hawaii system (UH) and Johnson Controls to develop solar plus storage systems to help five UH campuses achieve their net-zero goals (Pacific Current is the long-term owner of the systems).,7,['net-zero'],hei,FALSE
"In 2018, Hawaii also became the first state to set an economy-wide carbon neutral to carbon negative target, also by 2045.",7,"['carbon neutral', 'target', '2045']",hei,FALSE
Dole was named one of the Worlds Most Ethical Companies by Ethisphere Magazine and undertook a carbon offset program to secure a carbon neutral operating footprint.,8,['carbon neutral'],hei,FALSE
"For that reason, our state has been one of the nations leaders in setting ambitious climate goals, including a 100% renewable portfolio standard (RPS) and a carbon neutral to carbon negative economy by 2045.",10,"['carbon neutral', '2045']",hei,FALSE
"Working to foster employee enthusiasm and commitment to the organization and its mission to be a catalyst for a better Hawaii, improving employee satisfaction and employee retention and attracting talent.",11,['commitment'],hei,FALSE
"In this, our first TCFD-aligned disclosure, we outline our governance and risk management approach for climate change, identify key climate-related risks and opportunities, provide a high-level analysis of implications of a transition climate scenario and a physical scenario, and summarize our current primary metrics and targets related to climate change.",14,['target'],hei,FALSE
"In preparation for this report, risks and opportunities were considered for three time horizons short term (<5 years), medium term (5-15 years) and long term (15+ years).",15,['long term'],hei,FALSE
"RISK THEMES Physical Technology Market Policy & Legal Reputation Strategy 1 2 3 4 5 6 7 What Climate-Related Risks and Opportunities has HEI Identified Over the Short, Medium and Long Term?",15,['long term'],hei,FALSE
"As the utility adopts and procures new technology and solutions to increase clean energy and meet customers evolving expectations, there is a risk of locking in long-term infrastructure or contractual commitments that become overtaken by more efficient or more economic options.",17,['commitment'],hei,FALSE
"As the state of Hawaii strives to transition to a carbon neutral to carbon negative economy and continues one of the nations most ambitious energy transformations, our companies have opportunities to invest in decarbonization and resilience, advance electrification of our economy to benefit all customers, offer new products and services, and partner with our communities to advance a more sustainable future for Hawaii.",18,['carbon neutral'],hei,FALSE
"To achieve this, the world would need to reach net-zero emissions by 2050, requiring more rapid deployment of renewable generation and faster development of solutions to electrify broader swaths of the economy.",19,"['net-zero', '2050']",hei,FALSE
"For our utility, this would require procurement and/or construction of more renewable energy generation to meet RPS and decarbonization targets, as well as infrastructure investment (such as make-ready infrastructure for electric vehicle charging) and upgrades to the transmission and distribution system.",19,['target'],hei,FALSE
"Hawaii set a goal of 100% RPS by 2045, with interim RPS milestones of 30% by 2020, 40% by 2030 and 70% by 2040.",20,"['2040', '2045']",hei,FALSE
What Targets are Used by HEI to Manage Its Strategies for Addressing Climate-Related Risks and Opportunities?,20,['target'],hei,FALSE
We have aligned our efforts with Hawaiis state RPS and carbon neutral to carbon negative economy goals.,20,['carbon neutral'],hei,TRUE
Renewable Portfolio Standard (RPS) 30% 70% 40% 100% 1 2020 2030 2040 2045 RPS represents the percentage of electricity sales that are satisfied with renewable energy.,20,"['2040', '2045']",hei,FALSE
Our targets focus on increasing our utilitys renewable energy usage and electrifying other economic sectors that currently rely on fossil fuel and carbon-intensive energy resources with renewable energy.,20,['target'],hei,FALSE
"The utility is eligible to earn a reward of $20/MWh in 2021-22, $15/MWh in 2023 and $10/MWh in 2024 and beyond should it outperform the RPS-A target each year.",21,['target'],hei,FALSE
"The annual RPS-A targets are an interpolation of the RPS goals for 2020, 2030, 2040 and 2045 (see summary of Statutory RPS versus RPS-A below).",21,"['target', '2040', '2045']",hei,FALSE
Future Goals We anticipate that additional goals and targets will be established in the future as we continue to evolve our strategies and activities for advancing decarbonization and addressing climate-related matters.,21,['target'],hei,FALSE
"Project Footprint gained national recognition and received numerous awards for its innovative approach to customer engagement, creative messaging, and commitment to environmental sustainability.",23,['commitment'],hei,FALSE
"Were very proud of the commitment of our employees as we work to support our customers, protect fellow employees and help those impacted across our state.",23,['commitment'],hei,FALSE
"Since then, Hawaii has embarked on an even bolder expedition, seeking to power the islands with 100% renewable energy and achieve a carbon neutral to carbon negative economy by 2045.",24,"['carbon neutral', '2045']",hei,FALSE
Both the company and our executives have financial incentives to achieve higher levels of RPS ahead of state targets.,25,['target'],hei,FALSE
See Metrics and Targets on page 39 for more detail.,25,['target'],hei,FALSE
"At Hawaiian Electric we are aligned with and committed to achieving our states goals 30% RPS by 2020, 40% by 2030, 70% by 2040 and 100% by 2045.",25,"['2040', '2045']",hei,TRUE
The utility is pursuing a holistic decarbonization strategy to help achieve Hawaiis carbon neutral to carbon negative economy goal.,28,['carbon neutral'],hei,FALSE
"Environmental Commitment and Management More than 30 environmental professionals, including scientists, engineers, chemists and a wildlife biologist, work full-time at our utility to ensure employees and external contractors understand and comply with applicable environmental laws, regulations, permitting requirements and procedures regarding air and water quality, noise control, hazardous materials and protected species.",28,['commitment'],hei,FALSE
"West Oahu Air Monitoring Network As part of a commitment to the West Oahu community for the development of the Campbell Industrial Park (CIP) Generating Station, we voluntarily installed monitoring stations to measure the daily Air Quality Index in the area.",29,['commitment'],hei,FALSE
"Our Environmental Commitment Our Code of Conduct instructs all employees and contractors to adhere to our environmental commitment, which includes: Maintaining a robust environmental management system, including assigned roles and responsibilities for environmental management Monitoring our environmental performance and regular reporting on our environmental management Ensuring environmental training for all relevant employees Consulting with stakeholders on environmental issues Preparing for and responding to any emergency that might impact the environment We use a Geographic Information System (GIS) mapping system to show where known populations and historic distributions of key protected species are located.",29,['commitment'],hei,FALSE
"To offset the lack of a base rate increase, achieve our customer savings commitment and operate within the PBR structure, were implementing plans to reduce costs through improved planning and scheduling of work leading to reduced overtime, managing the size of our workforce, continuing our process improvement initiatives, strategic sourcing of goods and services and reducing our office footprint.",32,['commitment'],hei,FALSE
"While we play a key role in facilitating our community-wide clean energy and carbon neutral transition, it will take the actions of our whole community, kkou, to reach our renewable energy milestones and decarbonize our economy.",33,['carbon neutral'],hei,FALSE
"To do so, we will: Treat you as a member of our ohana R espond promptly with respect and empathy U nderstand and listen to your needs and perspectives S hare information clearly and concisely Take ownership and keep our commitments In Hawaii, all electric utility customers pay a public benefits fee (PBF) that funds demand-side reduction and energy efficiency initiatives.",33,['commitment'],hei,FALSE
"We know that engagement and collaboration can only be successful when we demonstrate a willingness to work with our communities through careful listening, thoughtful responsiveness and a commitment to embracing the environmental and cultural values of Hawaii.",34,['commitment'],hei,FALSE
The Safety Observation Program targets better safety communication to mitigate risks and improve safety engagement.,36,['target'],hei,FALSE
Executive compensation is tied to achievement of quantified severity and TCIR targets.,36,['target'],hei,FALSE
"These targets reward improvements in workplace safety, promote employee well-being, and reduce expenses.",36,['target'],hei,FALSE
"This helps us to attract, engage and retain highly skilled employees to advance our commitment to provide customers and communities with affordable, reliable, and clean energy.",37,['commitment'],hei,FALSE
"Our teammates also donate their time in the community, providing financial literacy programs to nonprofits that include Family Promise Hawaii and Kupu Hawaii and providing financial education in schools through our Bank for Education program and commitment to Junior Achievement.",40,['commitment'],hei,FALSE
"We are proud to be the first in Hawaii to earn the WELL Health-Safety Rating, an achievement that underscores our commitment to the health and safety of our teammates, our customers and the community.",42,['commitment'],hei,FALSE
"We encourage our teammates to commute to work by carpool, mass transit, bike, or other means and reward those who do for their commitment to the environment.",42,['commitment'],hei,FALSE
"In designing the new campus, we wanted a building that was reflective of our commitment to our customers, our teammates, and the community.",42,['commitment'],hei,FALSE
"Our Commitment to Human Rights Preventing Discrimination and Harassment At ASB, we do not tolerate discrimination or harassment against our teammates by anyone, including fellow teammates, customers or suppliers.",47,['commitment'],hei,FALSE
"By 2045, Hawaii seeks to sequester more atmospheric carbon and greenhouse gases than emitted within the state.",49,['2045'],hei,FALSE
Customer-sited renewable resources will play a critical role in reaching Hawaiis 2045 clean energy goals as a complement to utility-scale solar projects.,49,['2045'],hei,FALSE
"The State of Hawaiis RPS law is one of the most aggressive in the nation, targeting 100% RPS by 2045, with interim goals of 30% by 2020, 40% by 2030 and 70% by 2040.",54,"['target', '2040', '2045']",hei,FALSE
"However, revenue losses that result from customer participation in the companys distributed generation rate tariffs (net energy metering, customer grid supply, customer self-supply, smart export) are recovered through the decoupling mechanism (because participation in these tariffs can lower actual revenues versus the target revenue).",58,['target'],hei,FALSE
"While we seek to increase access to financial services and support those businesses that make a positive impact in the community, we primarily evaluate our borrowers creditworthiness based on the businesss commitment to honor the obligations to ASB.",61,['commitment'],hei,FALSE
"Our actual future results, including the achievement of our targets, goals or commitments, could differ materially from those reflected or implied in the forward-looking statements, which involve risks, uncertainties and other important factors.",70,"['commitment', 'target']",hei,FALSE
"With respect to our ESG targets, goals, and commitments outlined in this report or elsewhere, certain challenges, assumptions, risks, uncertainties and factors are identified in this report.",70,"['commitment', 'target']",hei,FALSE
"Forward-Looking Statements Certain statements contained in this report are forward-looking statements, including statements regarding our ESG targets, goals, commitments and programs and other business plans, initiatives and objectives, and other statements that are not purely historical.",70,"['commitment', 'target']",hei,FALSE
We have set targets to help evaluate our impact and performance over time and we report on our progress towards these targets.,5,['target'],hkei,FALSE
"Verification and Endorsement In line with our commitment to being transparent about our sustainability impacts and performance and to managing those impacts responsibly, we have commissioned an independent third party to verify the contents of this report and assure its credibility.",5,['commitment'],hkei,FALSE
"To provide an unbiased picture of our performance, we disclose both achievements and areas for improvement such as any missed targets and complaints received.",5,['target'],hkei,FALSE
"The report covers our electricity business in Hong Kong and presents our approach to sustainability, key performance during the year, as well as plans and targets for the future.",5,['target'],hkei,FALSE
"A Word from our CEO The work ahead will be arduous, but combating climate change by achieving carbon neutrality is integral to Hong Kongs sustainable development.",8,['carbon neutral'],hkei,FALSE
"To help accelerate action towards the goals of the Paris Agreement, the HKSAR Government published Hong Kongs Climate Action Plan 2050.",9,['2050'],hkei,FALSE
"This brings together our citys overall strategies, targets and actions to achieve carbon neutrality.",9,"['carbon neutral', 'target']",hkei,FALSE
"Working Together for a Sustainable Future HKEI welcomes the Governments decision to pursue net-zero carbon emissions from electricity generation before 2050, including its medium-term target to transition away from coal-fired power by 2035.",9,"['net-zero', 'target', '2050']",hkei,TRUE
"During the year, we achieved our interim target of deploying more than 120,000 smart meters on our customers premises and introduced new digital services, including the HK Electric App, to help our customers optimise their energy use and to enhance customer experience.",10,['target'],hkei,FALSE
The goal is to inspire young people to help Hong Kong fulfil its pledge of carbon neutrality by 2050.,10,"['carbon neutral', '2050']",hkei,FALSE
"In recognition of our commitment to best practices and achievements, we have been invited by the Occupational Safety and Health (OSH) Council alongside nine other outstanding OSH enterprises to form its first group of OSH Strategic Partners.",10,['commitment'],hkei,FALSE
"To achieve Hong Kongs fuel mix target of around 50% gas generation from 2020, HK Electric not only had to build a new gas-red unit L10, but also defer the retirement of an old gas-red unit GT57.",13,['target'],hkei,FALSE
"For more information about how the Sustainability Committee assists the Board in overseeing management of material sustainability issues and related goals and targets, please refer to its Terms of Reference on our corporate website and the ensuing sections of this chapter.",14,['target'],hkei,FALSE
Our commitment to sustainability cascades from the top of our organisation.,14,['commitment'],hkei,FALSE
"Built on four strategic pillars incorporating 14 material focus-areas, the Framework helps us translate our values and commitments into measurable targets and actions, and enables us to better communicate our impact with stakeholders.",14,"['commitment', 'target']",hkei,FALSE
"The outcomes serve as good reference for refining our goals and targets, helping us allocate our resources more effectively to create shared value for the Group and our stakeholders.",16,['target'],hkei,FALSE
We have established internal targets to gauge our progress of helping achieve these SDGs and are committed to reporting annually on our performance against these targets.,18,['target'],hkei,FALSE
We also attach great importance to combating climate change and are committed to collaborating with the Government on the best way forward to realise carbon neutrality for Hong Kong.,23,['carbon neutral'],hkei,FALSE
"Steady Growth in our Asset Base We will continue to undertake pragmatic investments in power generation, transmission and distribution consistent with our commitment to providing a world-class power supply and supporting sustainable development.",23,['commitment'],hkei,FALSE
"Having already made considerable progress towards decarbonising our business through coal-to-gas transition, we welcome the Governments plan to achieve carbon neutrality before 2050 for electricity generation in Hong Kong.",23,"['carbon neutral', '2050']",hkei,TRUE
"We are investing in various decarbonisation initiatives, including switching from coal to gas with a target to phase out the entire coal-fired power generation fleet by the early 2030s.",23,['target'],hkei,FALSE
Our Intellectual Property Policy reflects the Groups commitment to protect our own property and not to infringe upon the rights of third parties in accordance with the Copyright Ordinance of Hong Kong.,24,['commitment'],hkei,FALSE
"This commitment underpins the efficiency and transparency of our operations, attracts investment, enhances shareholder value and helps protect the rights of shareholders and other stakeholders.",24,['commitment'],hkei,FALSE
"In 2021, HK Electric entered into a framework agreement with State Grid Shanghai Municipal Electric Power Company and State Grid International Development Company Limited to share experiences in the application of clean power technology The megatrend of transitioning to a low and ultimately zero-carbon economy poses significant transition risks for our business, particularly the challenge of helping achieve Hong Kongs target for carbon neutrality before 2050.",26,"['carbon neutral', 'target', '2050']",hkei,TRUE
"Management Approach Sustainable Long-term Growth Corporate Governance Sustainability Risks and Opportunities Stakeholder Engagement Case Story 1 Innovation with the Government for 2019-2033 provides stability in terms of financial and service regulation, however the Governments strategies on air quality, decarbonisation and electricity market reform, among other factors, may impact the Groups performance in the medium to long term.",27,['long term'],hkei,FALSE
"To contribute to the decarbonisation of Hong Kong, we target to phase out coal-fired generation by the early 2030s.",29,['target'],hkei,TRUE
We are formulating a longer-term target for reducing emissions towards net zero in line with climate science.,29,['target'],hkei,TRUE
"Management Approach Sustainable Long-term Growth Corporate Governance Sustainability Risks and Opportunities Stakeholder Engagement Case Story 1 Innovation 2017, the Science Based Targets initiative (SBTi) recognised our carbon reduction target for 2022.",29,['target'],hkei,FALSE
"We have developed a set of internal targets corresponding to three United Nations SDGs that are material to our business, namely, Affordable and Clean Energy (Goal 7), Industry, Innovation, and Infrastructure (Goal 9) and Climate Action (Goal 13) as elaborated in the chapter on Our Business and Approach to Sustainability.",29,['target'],hkei,FALSE
Metrics and Targets We conduct regular reviews of our climate-related metrics and targets in order to keep track of our performance.,29,['target'],hkei,FALSE
We launched an 18-month internal education campaign in May 2020 and have organised a variety of activities to enhance our employees awareness of HK Electrics sustainability commitments and performance.,31,['commitment'],hkei,FALSE
"In 2020, we began an 18-month sustainability education programme to enhance our employees awareness of HK Electrics sustainability commitments and performance and to further embed sustainability across our business.",34,['commitment'],hkei,FALSE
"In 2021, 60 environmental management programmes were formulated to improve environmental performance with reference to measurable targets.",40,['target'],hkei,FALSE
"HK Electric supports Hong Kongs decarbonisation targets and initiatives, including the Carbon Neutrality Partnership led by the Environment Bureau, the Low Carbon Charter led by the Business Environment Council and Hong Kong Green Building Councils Advancing Net Zero programme.",41,"['carbon neutral', 'target']",hkei,TRUE
"The HKSAR Government has published Hong Kongs Climate Action Plan 2050 in line with this global agenda, bringing together our citys overall strategies, plans, targets and actions to achieve carbon neutrality before 2050.",41,"['carbon neutral', 'target', '2050']",hkei,FALSE
We are now in the process of formulating a longer-term target for reducing emissions towards net zero in line with climate science.,42,['target'],hkei,TRUE
"HK Electric supports the SBTi, which is a collaboration between CDP, the United Nations Global Compact, World Resources Institute and the World Wide Fund for Nature to promote best practices in setting science-based targets.",42,['target'],hkei,FALSE
"In 2017, SBTi recognised HK Electrics carbon reduction target for 2022.",42,['target'],hkei,FALSE
"In addition to switching from coal to gas-fired generation, we are working hard to increase RE generation and studying to introduce other zero-carbon solutions, such as hydrogen-fuelled power, to help Hong Kong achieve carbon neutrality.",44,['carbon neutral'],hkei,FALSE
We are committed to helping Hong Kong achieve carbon neutrality before 2050 in line with the citys Climate Action Plan 2050 and the global agenda.,44,"['carbon neutral', '2050']",hkei,TRUE
"Although this technology is still new, it has exciting potential to accelerate the transition to net-zero carbon.",45,['net-zero'],hkei,FALSE
"However, hydrogen, being the most common and simplest element in the universe, definitely has great potential of becoming the cleanest energy solution for future and can help us get to net-zero carbon.",45,['net-zero'],hkei,FALSE
"Net-zero Carbon With anticipated advancements in hydrogen technology, there are new opportunities to explore and modify our existing gas-fired units in a cost-effective and environmentally friendly way.",45,['net-zero'],hkei,FALSE
Our target is to reduce ash and gypsum production by 37% in 2024 compared with 2019.,47,['target'],hkei,FALSE
"In accordance with our new energy saving targets adopted in 2021, we are striving to reduce energy consumption in our key office premises by 5% in 2025 compared with 2020.",47,['target'],hkei,FALSE
We target to implement RCx in Hongkong Electric Centre and a building at LPS by 2023.,47,['target'],hkei,FALSE
This important development is consistent with our commitment to prioritise waste reduction and recycling by diverting waste from waste disposal.,48,['commitment'],hkei,FALSE
We have set a target to collect plant effluent and rain water for reuse at LPS each year.,48,['target'],hkei,FALSE
We also target to reduce consumption of town water in our key office premises by 1% in 2025 compared with 2020.,48,['target'],hkei,FALSE
"Our Environmental Policy outlines our commitment to implementing practical measures for reducing water consumption, reusing or recycling wastewater and minimising the impact of effluents that are discharged from plants.",48,['commitment'],hkei,FALSE
"Our commitment to excellent reliability and service is reflected in our corporate policies on Quality, Customer Services, Complaints Handling, Personal Data Privacy, Information Security and Corporate Security.",54,['commitment'],hkei,FALSE
Many of these initiatives are specifically targeted at families and small businesses who are most in need.,54,['target'],hkei,FALSE
"Our Customer Services Steering Committee monitors our service performance with reference to specific and measurable targets, including our pledged Service Standards.",54,['target'],hkei,FALSE
We also closely review the operation regime of the generation facilities to ensure various targets for emission control are being met taking into account the commissioning of new gas-fired units.,56,['target'],hkei,FALSE
HK Electric remains steadfast in our commitment to supporting our customers and our community during these difficult times.,60,['commitment'],hkei,FALSE
We strive to maintain tariffs at an affordable level and provide targeted support for those who are most in need.,60,['target'],hkei,FALSE
The project is targeted to be completed by 2025.,61,['target'],hkei,FALSE
"As at the end of 2021, we have achieved our interim target of deploying more than 120,000 smart meters on our customers premises.",61,['target'],hkei,FALSE
"Smart Power Services HK Electric fosters EE&C and promotes RE and EVs in the community through a suite of funding and service initiatives known as Smart Power Services targeting residential, commercial and industrial customers, as well as education and welfare organisations.",64,['target'],hkei,FALSE
We have set a target to increase the proportion of EVs in our corporate fleet from 50% in 2020 to 53% in 2025.,66,['target'],hkei,FALSE
Our target is to increase the number of EV chargers on company premises from 196 in 2020 to 228 by 2025.,66,['target'],hkei,FALSE
Our commitment to rewarding excellence in an objective and fair manner is reflected in our pay-for-performance policy and the competitive nature of our remuneration and benefits packages.,73,['commitment'],hkei,FALSE
"However, we missed the overall target set for achieving continuous improvement in both rates, which is to achieve a reduction as compared to the average over the previous three years.",81,['target'],hkei,FALSE
"New gas-fired generating unit L11 was successfully synchronised in November 2021 and targeted for commissioning in 2022, while the construction works for L12 is in full swing.",88,['target'],hkei,FALSE
The timeline of this target has been revised from 2021 to 2023 considering the number of divisions/departments and their schedules.,88,['target'],hkei,FALSE
"To realise these commitments, we regularly review our performance and set specific goals for the future.",92,['commitment'],hkei,FALSE
Specific targets in support of the United Nations Sustainable Development Goals and Carbon Neutrality for Hong Kong can be found in the chapters on Our Business and Approach to Sustainability and Running a Sustainable Business.,92,"['carbon neutral', 'target']",hkei,FALSE
"Outlined below are the targets we set in the areas of Environment, Health & Safety, and Partners & Community for 2022 and beyond.",92,['target'],hkei,FALSE
"Our commitment to being a leader in sustainable energy transition is manifested in the non-financial dimension of the Group's operations, focusing on the positive impact of our activities on the surroundings.",3,['commitment'],pge,FALSE
"PGE Groups generating potential will be gradually re-built as investments in new generating assets, especially offshore wind farms, are implemented the diagram below presents the target business model of the PGE Group.",7,['target'],pge,FALSE
"Non-financial report on activities of PGE Polska Grupa Energetyczna SA and PGE Capital Group for 2021 The strategy of the PGE Capital Group until 2030 with an outlook until 2050 Energy transition, decarbonisation of power generation and climate neutrality are the key issues on which the Strategy of the PGE Group focuses.",9,['2050'],pge,FALSE
"The activities of the PGE Group increasing positive environmental impact As a leader of transition, PGE Group declares to reduce its impact on the natural environment by achieving climate neutrality by 2050.",10,['2050'],pge,TRUE
"By 2050, the PGE Group plans to achieve climate neutrality and provide its clients with 100 percent of renewable energy Greenhouse gas emission reduction targets have also been set, as follows: 80% reduction in emissions by 2030 (compared to emissions in 2020), 100% reduction in emissions by 2050 (compared to emissions in 2020).",11,"['target', '2050']",pge,TRUE
The strategy also sets targets for increasing the waste recirculation rate (> 65% by 2035) and reducing the volume of waste landfilled (10% by 2035).,11,['target'],pge,TRUE
"Climate awareness PGE Group's response to climate change encompasses a new business strategy, which includes the goal of climate neutrality by 2050.",19,['2050'],pge,TRUE
This confirms PGE Group's commitment to reducing the environmental impact of its operations and responsibly using natural resources.,19,['commitment'],pge,FALSE
"PGE as the leader of sustainable energy transition in Poland, including in environmentally friendly energy, is committed to reducing its impact on the environment through: decarbonising generation through technology change, expanding its RES portfolio and enabling its customers to participate in the transition, increasing the use of renewable sources and decarbonising the portfolio, developing a circular economy, reaching climate neutrality by 2050.",19,['2050'],pge,TRUE
"PGE Group's path to climate neutrality PGE Groups long-term strategic aspiration is to supply 100% of energy from renewable sources to customers by 2050, which will be possible through: construction of offshore wind farms, implementation of the PV program, development of the onshore wind portfolio, energy storage program.",20,['2050'],pge,TRUE
"Rebuilding generation capacities with the use of new low-or zero-emission generating units should be completed by 2030, and climate neutrality would be achieved by 2050.",21,['2050'],pge,TRUE
"The development projects being analysed also consider the application of technology enabling the co-firing of hydrogen, which in the long term offers an opportunity to significantly reduce CO2 emissions in cogeneration systems.",22,['long term'],pge,FALSE
"At the same time, it will enable the development of specific emission reduction targets.",25,['target'],pge,FALSE
Green Office Certificate Green offices with functionalities that meet environmental objectives are one of the manifestations of PGE's environmental commitment.,28,['commitment'],pge,FALSE
"According to PGEs strategy, one of the ways to achieve the goal of climate neutrality by 2050 is to implement the principles of circular economy in all areas of activity.",35,['2050'],pge,TRUE
This is a response to the challenges facing the Polish economy both in the long term and in the coming years as an important element of the transition process.,36,['long term'],pge,FALSE
"In the area of waste management, indicators have been set for waste recirculation and reduction of the volume of landfilled waste by 2035 in the form of two targets: recycling above 65%, and landfilling of no more than 10 percent of the waste generated.",36,['target'],pge,FALSE
"The target area of the pit together with the internal heap, where the recovery of combustion waste from the power plant is carried out, will be developed in the direction of forestry.",40,['target'],pge,FALSE
"The target rehabilitation directions include: forest, woodland direction-internal dumps of the Bechatw field, forestry, recreational and sports, agricultural (cultivation of energy crops), economic (construction of a wind farm)-the external dump of the Szczercw field, water direction-mining pits of field Bechatw and field Szczercw, recreational and sports facilities and wooded areas in coastal areas.",42,['target'],pge,FALSE
"In the case of the Turw mine, the rehabilitation of the external dump, which has been carried out since 1960s, is aimed at target forest management, where mining operations have been finished.",42,['target'],pge,FALSE
