sentence,page,keyword(s),Company,Label
"The Paran Trifsico program reached 6,515 kilometers of new electricity networks already installed in the state by the end of 2021.",21,['program'],copel,FALSE
"The increase in the sensing of the distribution system, resulting from the replacement of electromechanical or electronic meters with smart meters, allows greater assertiveness in the identification of defects and reduces the unavailability of the distribution system.",22,['system'],copel,FALSE
The Smart Grid Project program is promoting unprecedented automation in the states power grid.,22,"['program', 'project']",copel,FALSE
"These systems identify the location of the cause of the outage, automatically reconnecting the sections that are not directly affected by the event, thus minimizing the impact of power outages.",22,['system'],copel,FALSE
"To date, approximately 3,000 pieces of equipment have been automated in the distribution network, special equipment, and more than 750 self-healing systems have been implemented.",22,['system'],copel,FALSE
"Program The Cultivar Energia program started in 2013 and is related to the UN SDGs (Sustainable Development Goals), especially SDG 2, dedicated to the eradication of hunger and sustainable agriculture; SDG 10, to reduce inequalities between countries; and SDG 17, which aims to strengthen the means of implementation and revitalize the global partnership for sustainable development.",23,['program'],copel,FALSE
"The program is committed to contributing to the quality of life of communities, promoting inclusion, food security, in addition to being an alternative source of income through community gardens implemented in idle spaces on land located under Copels distribution networks.",23,['program'],copel,FALSE
"In 2021, around R$ 60 thousand were invested in the process of fencing the area and providing guidance to the families participating in the project at Copel DIS.",23,['project'],copel,FALSE
"Boa Vizinhana (Good Neighborhood) Program The Boa Vizinhana Program aims to strengthen the Companys relationship with the surrounding communities, promote social well-being, structure actions in line with the legislation and its strategic reference, contributing to sustainable local development.",23,['program'],copel,FALSE
"The existence of vegetable gardens prevents possible irregular and high-risk occupations under the power lines, in addition to being a supplementary income alternative for the families participating in the project.",23,['project'],copel,FALSE
"The performance of the strategic plan is monitored through the Business Management System (BMS) and monitored during Critical Analysis Meetings, held periodically at all levels of the organization.",25,['system'],copel,FALSE
"In order to review the strategic planning, a workshop was held with the participation of professionals from Copel DIS and professionals from the Holding, where the strategic guidelines could be determined as follows: Maximize company value through sustainable growth, profitability, adequate levels of indebtedness and shareholder compensation; Be a reference in customer satisfaction; Invest in technologies and assets to ensure a robust, reliable and intelligent electrical system; Have discipline in the allocation of capital, rigor in the planning and execution of projects; Promote a leap in quality in the supply of energy in rural areas; Pursue excellence in operational processes, team productivity and cost optimization, in a sustainable and permanent way; Promote people-focused management, strengthening team engagement and reinforcing the meritocracy culture; Sediment the safety, health and quality of life culture; Foster innovation and prepare the workforce for the sectors modernization; Promote and ensure adherence to the best ESG, risk management and Compliance practices; Develop solutions to take advantage of the expansion of GD and Smart Grid for the benefit of the Distribution system; Consolidate the leading role with regulatory, institutional and sectorial bodies; Identify business opportunities by taking advantage of synergies and our competencies in the distribution sector.",28,"['system', 'project']",copel,FALSE
"In the search for the adequacy of the Organizational Culture and for the Management focused on People, Copel Distribuio created the Strategic Project entitled Transformation, aligned with the objective of DIS, which is to become The best and most modern Distributor in Brazil.",30,['project'],copel,FALSE
"In the initial phase, the consultancy was made aware of all management practices, programs in progress and other materials related to the current form of management of the company.",31,['program'],copel,FALSE
A A program that encourages the creative and innovative potential of the staff by encouraging employees to present ideas and projects relevant to the Companys strategic context.,31,"['program', 'project']",copel,FALSE
"The project is under development, with completion expected in 2023/2024.",31,['project'],copel,FALSE
"In 2021, the entire project was aligned with the consultancy, with a strategy and schedule being presented.",31,['project'],copel,FALSE
"Finally, these groups are important promoters of a systemic vision and innovation, always with an eye on the continuous improvement of internal processes, linked to the best corporate practices existing in the market.",32,['system'],copel,FALSE
"During the implementation phase, relationship programs are carried out with the communities to clarify the installations and possible impacts during the works.",34,['program'],copel,FALSE
"Annually, in March, a public hearing is held in which information related to amounts invested and amounts available, expectations for opening public calls for selection of projects presented by the society, as well as projects in progress in the previous year, are presented.",34,['project'],copel,FALSE
"The objective of the Energy Efficiency Program is to promote the efficient use of electricity in all sectors of the economy through projects that demonstrate the importance and economic feasibility of improving the energy efficiency of equipment, processes and end uses of energy.",34,"['program', 'project']",copel,FALSE
The Smart Electric Grid Project deals with the implementation of a communication network for distribution network automation equipment and for smart meters.,34,['project'],copel,FALSE
The public hearing also opens a channel of communication so that the whole society can express itself or clarify any point related to the program.,34,['program'],copel,FALSE
"Moreover, computer systems for efficient management of this communication network are included in this project.",34,"['system', 'project']",copel,FALSE
"In accordance with current environmental legislation and criteria of environmental licensing agencies, in the preparation of environmental studies, inquiries are carried out with residents of the area directly affected by the project, which helps in the analysis of the socio-environmental feasibility of the work.",34,['project'],copel,FALSE
This new level enables two-way communication between consumers and the centralized control systems used by Copel.,35,['system'],copel,FALSE
"In this project, the regulatory agency made visits to Copels facilities to verify how the project was being conducted, what improvements it would bring and what would need to be changed in the regulation so that the benefits could be shared between the different levels of society.",35,['project'],copel,FALSE
"The same happened with the Paran Trifsico project, which is an initiative to implement 25 thousand kilometers of three-phase networks in the rural area of the State of Paran with the objective of renewing the assets, promoting the improvement of the quality of the service provided, exceeding the required performance in the concession contract, and provide greater security to employees and the population.",35,['project'],copel,FALSE
A Program Manager in Action Program Safety sectors linked to Internal Accident Prevention Commissions (Cipas) Relationship channels with regulatory bodies Aneel registration E-protocol Ombudsman E-mail 37 2.,37,['program'],copel,FALSE
"Through the Real Estate Portal, which is a web system for exclusive relationships with accredited real estate agencies, in 2021, 327,439 self-services were handled by Copel DIS back office team.",38,['system'],copel,FALSE
"Of these, 273 are contracted units of the Copel com Voc program, created in 2015 in partnership with local commercial establishments with the objective of providing this type of assistance in small cities.",38,['program'],copel,FALSE
"We seek to maintain fluid and constant communication with this stakeholder, either through administrative communication in people management programs, or through internal channels, such as the intranet, internal social networks, emails and chat.",39,['program'],copel,FALSE
"Permanent dialogue with municipal governments, consumer protection agencies and state administration agencies.",39,['protection'],copel,FALSE
"Copel works in partnership with city halls in afforestation programs, in the maintenance of lanes under high voltage lines and in consumer orientation actions.",39,['program'],copel,FALSE
"In 2021, new radio spots and a new season of videos were produced for placement on YouTube and in the programming of online classes and on TV of the state education network, thus contributing to the training of students with important topics related to care and safe use of electricity.",40,['program'],copel,FALSE
"GRI 413-1 The practice of offering online educational events to the internal public and various stakeholders, such as suppliers and professionals in the sector, charities associated with Copels volunteer program, among others, continued in 2021.",40,['program'],copel,FALSE
"The Espao Energia Instagram page continued to be active, and the museum had a special online program on the occasion of the Primavera dos Museus (Museum Spring) event.",40,['program'],copel,FALSE
The actions of the program took place throughout the year.,40,['program'],copel,FALSE
"The guidelines are also taken annually to thousands of children in schools, through the Iluminando Geraes (Lightening Generations) program, thanks to the fundamental partnership of education professionals committed to safety.",40,['program'],copel,FALSE
"This activity is also strategic, as the program provides instruments and international quality standards, encouraging the corporate culture of preparing and publishing these inventories.",41,['program'],copel,FALSE
"To this end, according to SDG Compass guidelines (guide prepared by the GRI, the UN and the World Business Council for Sustainable Development), the methodology for prioritizing objectives, identifying impacts in its value chain, selecting programs and projects among the most relevant of Copel DIS and establishment of goals and indicators that will directly contribute to sustainable development and achievement of global objectives.",43,"['program', 'project']",copel,FALSE
"In this context, expanding and maintaining the distribution system is a vital tool for maintaining operations.",44,['system'],copel,FALSE
"Eventually, Copel participates in studies coordinated by sectoral bodies, such as the Energy Research Company and the National Electric System Operator.",44,['system'],copel,FALSE
"Thus, studies are carried out on the projection of the growth of the consumer market, the potential of existing and future generation, and the characteristics of the equipment that make up the electrical system, variables that result in different scenarios of operation, digitally simulated.",44,"['system', 'project']",copel,FALSE
"To carry out the studies, Copel is mainly based on the Electric Energy Distribution Procedures (Prodist), prepared by Aneel together with the other actors in the sector and which regulate the technical activities of operation and performance of the distribution systems.",44,['system'],copel,FALSE
Copel has an Integrated Management System with ISO 9001 certification in the Provide Energy Distribution Infrastructure process.,45,['system'],copel,FALSE
"Other ongoing projects include, for example, the implementation of the WorkForce Management system.",45,"['system', 'project']",copel,FALSE
"Expansion: work associated with the increase in load, motivated by the increase in demand from existing consumers or by the connection of new consumers; Improvement: work exclusively related to improving the quality and reliability of the distribution system; and Renovation: work required to replace electrical assets that have reached the end of their useful lives.",45,['system'],copel,FALSE
"Expansion planning The works program is reported annually to ANEEL, through the Distribution Development Plan (PDD), whose horizon is 10 years.",45,['program'],copel,FALSE
"Indicators for evaluating the performance of the electrical system (especially those aimed at power interruption), among others, serve as benchmarks to measure the effectiveness of investment plans for expansion and improvement.",45,['system'],copel,FALSE
"In 2021, modernizations were carried out that included more than 1,300 automated equipment and the implementation of more than 260 self-healing systems (automatic recomposition), resulting in a reduction of DEC and FEC by around 8% and 14%, respectively, compared to 2020.",45,['system'],copel,FALSE
"Covid-19 Pandemic The distribution system expansion planning was impacted during the pandemic due to the reduction in energy demand, especially in regions of the state of Paran with a strong industrial and commercial concentration.",46,['system'],copel,FALSE
The networks are simulated considering the vegetative growth of a given region and systemic works are planned to meet the energy demand of consumers.,47,['system'],copel,FALSE
"The Operation of Distribution Networks works to guarantee the reliability and availability of electrical energy in the short term, using computerized and professional systems to guarantee the availability of the electrical system, coordinate the restoration and optimize the maintenance and service teams.",47,['system'],copel,FALSE
"For medium voltage systems, planning uses customer demand and consumption data, market growth data and also substation measurement data.",47,['system'],copel,FALSE
"For high voltage systems, the planning uses consumption and customer demand data, market growth data, substation measurement data and data reported by the electric sector bodies, the ONS (National System Operator) and the EPE ( Energy research company).",47,['system'],copel,FALSE
"The tariff review process also involves updating the costs that make up Portion A, that is, costs related to the acquisition of energy, the use of transmission systems, sector charges and irrecoverable revenues.",48,['system'],copel,FALSE
"Other factors are the composition of costs, the transmission system and other sector charges.",49,['system'],copel,FALSE
"In March 2021, Copel migrated to Level 2 of Corporate Governance at B3 (Brasil, Bolsa, Balco So Paulo stock exchange), which covers differentiated practices, such as 100% tag along for common and preferred shares, protection mechanism for minority shareholders, which grants: equitable treatment to all shareholders; voting rights for preferred shareholders in matters dealing with the transformation, incorporation, spin-off or merger of the Company; and use of the Market Arbitration Chamber, a stock exchange body.",54,['protection'],copel,FALSE
"Copels corporate governance system also incorporates the governance of wholly-owned subsidiaries, as established in the sharing agreement.",55,['system'],copel,FALSE
"In accordance with the provisions of the State-Owned Companies Law, Copel maintains an Integrity Program, a set of internal mechanisms that must be observed by all employees, managers and fiscal councilors.",57,['program'],copel,FALSE
The Integrity Program and the Conduct Code are the most relevant guiding instruments for preventing and fighting corruption within the Company.,59,['program'],copel,FALSE
"All complaints are treated confidentially, which guarantees anonymity, confidentiality and the protection of the protester.",60,['protection'],copel,FALSE
"Internal Audit provides assessment and consulting services through a systematic and disciplined approach, aimed at improving the effectiveness of processes, risk management, internal controls and corporate governance, providing information to support the decision-making process at the various hierarchical levels.",62,['system'],copel,FALSE
The reduction in the total number of employees is mainly due to the dismissal of employees who joined the Incentive Dismissal Program IDP.,81,['program'],copel,FALSE
"Topics of interest to employees are detected, such as the Companys programs and policies, the conduct of managers and management, among other matters that may influence the organizational climate.",83,['program'],copel,FALSE
"Through a partnership with Fundao Copel and its EquilibradaMente program, psychological support is offered 24 hours a day to Copelians.",84,['program'],copel,FALSE
"There are also benefits aimed at quality of life, such as indoor games, the Pre-Retirement Program, Energy and Health space, Copels choir, hours during the working day to practice volunteering and benefits offered through the Copel Foundation, such as private pension, medical, hospital, dental care plan and loans with interest rates lower than those practiced by the market.",84,['program'],copel,FALSE
"The workshops offered and the programs Learning Path provide information on psycho-emotional health, emotional balance, concepts and prejudices.",84,['program'],copel,FALSE
"The benefits package contributes to the well-being of all employees and includes, among others: meal/food allowance, day care allowance, extended maternity leave, extended paternity leave, profit sharing (PLR), Copel Performance Award (PPD), downpayment of the 13th salary, education allowance, vacation allowance, flexible hours, allowance for people with disabilities, allowance for employees with a disabled dependent, Professional Rehabilitation and Readjustment Program, supplementary sickness allowance, life insurance, Chemical Dependency Program, vaccination.",84,['program'],copel,FALSE
"In 2021, a focus was given to mental health with the Plenamente program for guidance and support to employees, especially given the impacts caused by the Covid-19 pandemic.",84,['program'],copel,FALSE
"Copel recently launched the Home Office Program, which adopts a hybrid work regime, partly on-site and partly at a distance, with voluntary membership.",84,['program'],copel,FALSE
"Our Energy In order to establish a standardized way of monitoring and evaluating employee performance, the company developed a performance management program called Nossa Energia (Our Energy).",87,['program'],copel,FALSE
"Among the development initiatives, the Mentoring and Coaching programs stand out.",88,['program'],copel,FALSE
"Within this macro program, we have several other related programs, such as Dilogos de Gesto, Reunies de Anlise Crticas, Ba do Conhecimento, Conversa Olho no Olho, P na Lama, Dicas de Gesto and +Disenvolver.",88,['program'],copel,FALSE
Gerente em Ao (Manager in Action) Program The Manager in Action Program (PGA) is a program that aims to support managers in managing their area and also contribute to the continuous development of Copel DIS leadership.,88,['program'],copel,FALSE
"Talent Bank Copel Distribuios succession management is carried out through the Talent Bank Program, which aims to identify and prepare potential successors.",88,['program'],copel,FALSE
"DIStaque (Highlight) Program In line with the actions defined for the Organizational Culture Adaptation Plan and DIS strategies, the DIStaque Program is a tool through which employees can register praise and thanks to their colleagues, which strengthens the culture of recognition.",90,['program'],copel,FALSE
"Leadership Meeting Program With the objective of bringing employees closer to Leadership, two practices were created in which the employee has the opportunity to represent their area to receive special recognition from the Director or their Superintendent.",91,['program'],copel,FALSE
The Pro-Equity of Gender and Race Program was created to disseminate new concepts in people management and organizational culture to achieve equality between women and men in the world of work.,92,['program'],copel,FALSE
"In 2021, Copel received for the third time the seal of the Pro-Equity of Gender and Race Program, coordinated by the Department of Policies for Women (SPM), linked to the Ministry of Women, Family and Human Rights (MDH).",92,['program'],copel,FALSE
"Project Women are only 13% of Copels engineering, where entry is by public contest.",94,['project'],copel,FALSE
"Inclusion, volunteering and the role of the allied person, held together with the Corporate Volunteering Program, Eletricidadania, was a lecture for Copel volunteers, encouraging activities with these groups.",94,['program'],copel,FALSE
"The Exacts Mind project works with high school students to encourage women to enter these careers, with the support of Copel engineers, through conversation circles.",94,['project'],copel,FALSE
"The policy is added to Copels Human Rights Program, guided by the same documents and initiatives.",96,['program'],copel,FALSE
"The Program is based on the following practices: Analysis, elaboration and refinement of Copels policies and regulations for the prevention, inspection and mitigation of violations; Production and disclosure of teaching materials, with information on Copels reporting channels to be accessed if violations are identified; and Holding courses, lectures and awareness-raising actions aimed at the internal public, outsourced employees, the production chain and the local community.",96,['program'],copel,FALSE
"Check out the main actions developed through the program: Offer of training on Human Rights prepared by Copel in a Distance Learning (EAD) format, composed of contents that include the relationship between human rights and the Brazilian Constitution, guidance to identify violations inside and outside the Company and the relevant whistleblower channel.",96,['program'],copel,FALSE
"The project was created in 2020 with the objective of facilitating the access of migrants and refugees to information about Copels basic services and the social programs of the federal and state governments, since Paran was one of the states in Brazil that received the most migrants and refugees in recent years.",97,"['program', 'project']",copel,FALSE
"In 2022, it will be expanded in partnership with the Eletricidadania program, of corporate volunteering.",97,['program'],copel,FALSE
"As examples we have the already consolidated Program Preservando a Vida (PPV Preserving Life), Safety and Health Management at WorkStandardized Tasks (GSST), Copel Video Monitoring (VMC), Serious Accident Analysis Meeting (RAAG), Safety Sectors, among others.",98,['program'],copel,FALSE
"In order to permeate Copel DIS practices on the subject to the entire workforcewhich includes contracted employeesin order to prevent accidents and maintain everyones health, the Company follows the Occupational Health and Safety Policy and executes well-defined and systematized processes.",98,['system'],copel,FALSE
The management of the various processes and practices is carried out through the Strategic Management System (BMS).,99,['system'],copel,FALSE
"The workforce is directly involved in this management through Internal Accident Prevention Commissions (Cipas) and permanent and temporary programs and committees to strengthen the culture of safety, health and quality of life.",99,['program'],copel,FALSE
"The responsibility lies with the Safety Engineering and Occupational Medicine structure, whose roles of elaboration and management of programs, rules and procedures aim at eliminating or neutralizing risks in the work environment.",99,['program'],copel,FALSE
"Frequency of meetings: monthly Committee for the analysis of Occupational Health and Safety Management standards GSST: define the procedures and identify the risks and preventive actions for the execution of tasks of commercial and emergency services, measurement, operation, maintenance and construction related to the electrical system distribution, tasks rated as having significant risk such as reading and warehousing.",100,['system'],copel,FALSE
"The formal health and safety committees present at Copel DIS have the following objectives: Permanent committee for risk hunting process related to the electrical distribution system, establish procedures and actions for the treatment of situations registered in the Caa ao Risco program, inherent to the Companys distribution network.",100,"['program', 'system']",copel,FALSE
"Among the systems used, we can highlight the practices described below that allow the involvement of workers.",100,['system'],copel,FALSE
"Preservando a Vida (Preserving Life) Program-PPV: it establishes field inspection of safety procedures during the execution of activities by employees and contractors, in accordance with the standards of the GSST area.",102,['program'],copel,FALSE
"Permanent committee of the risk hunting process related to the electrical distribution system: establishes procedures and actions for the treatment of situations registered in the Caa ao Risco program, for recording potential risks of accidents in internal and external environments.",103,"['program', 'system']",copel,FALSE
"The Occupational Health Medical Control Program has as its main objectives the promotion and preservation of employees health, in addition to establishing the mandatory and periodicity of medical assessments, complementary exams and medical-administrative conducts.",103,['program'],copel,FALSE
"PPRA: Updating the Environmental Risk Prevention Programs makes it possible to assess the risks of the areas in the context of the activities developed by them, in order to generate an action plan to resolve the non-conformities found.",103,['program'],copel,FALSE
This event comes from the Management Commitment signed with the DIS Management Superintendence and is evidenced in the Strategic Management System BMS management tool.,104,['system'],copel,FALSE
"BMI (Body Mass Index) Program: Work Safety Instruction Manual was created on BMI and weight for employees, own or outsourced, who work as electricians, since this has established limits for these body indicators.",104,['program'],copel,FALSE
"The topics covered are related to the main theme, indicated corporately, including: Actions to prevent accidents and occupational diseases; Existing health and safety indicators; Protection technologies; Quality of life at work.",105,['protection'],copel,FALSE
"Vehicles and forklifts are equipped with TRF, and the maximum speed programmed in this equipment cannot be higher than that established by the Brazilian Traffic Code CTB.",105,['program'],copel,FALSE
Standardized and programmed maximum speed and overtaking in the TRF must be complied with to ensure a safe driving practice.,105,['program'],copel,FALSE
A series of videos of the educational program Iluminando Geraes began to be broadcast on open TV channels aimed at students from the state education network.,106,['program'],copel,FALSE
"In the case of new projects carried out by Copel Distribuio, guidelines on health, safety and on the positive and negative impacts generated by Copels presence in the region are addressed through the Awareness Program with the Works workers and the Relationship Program with the Community; The Iluminando Geraes series enters the state education network: In 2020, another partnership will strengthen the work of accident prevention and incentive to conscious consumption of electricity.",106,"['program', 'project']",copel,FALSE
"Since June, program volunteers in all regions of Paran have been sharing the content with schools in the municipal networks, which offer new material to the 4th and 5th grades of Elementary School I, the programs target audience.",106,['program'],copel,FALSE
"Guidelines on sustainability, the conscious and safe use of electricity and care for the environment are provided to elementary school students at municipal schools, companies and non-governmental institutions through the Iluminando Geraes (Lightening Generations) Program.",106,['program'],copel,FALSE
"PPE Management System SPI: Copels PPE Management System SPI is an application capable of executing and assisting the process of managing personal protective equipment, above all, allowing the management of the forecast, control, delivery and replacement of personal protective equipment.",107,['system'],copel,FALSE
"Nexo System: Nexo is a specialized system for the Specialized Service in Safety Engineering and Occupational Medicine SESMT that aims to streamline and optimize processes and management related to the areas of Occupational Health, Occupational Safety, e-Social/Management Social Security and Environment of the company.",107,['system'],copel,FALSE
"Caa ao Risco (Risk Hunt): the Caa ao Risco Program facilitates the recording of potential risks of accidents existing in internal and external environments, helping the areas and entities involved in occupational safety in relation to the planning, execution, monitoring and costs of the actions planned and adopted to solve the potential risks found.",107,['program'],copel,FALSE
"Committee for the analysis of Occupational Health and Safety Management standards GSST: its purpose is to define the procedures and identify the risks and preventive actions for the execution of tasks of commercial and emergency services, measurement, operation, maintenance and construction related to the electrical distribution system, as well as tasks assessed as having significant risk, such as reading and storage.",108,['system'],copel,FALSE
"TFG System: TFG is a WEB application, which was created to facilitate the process of recording and analyzing accidents, as well as making the generation of statistical data more transparent and reliable.",108,['system'],copel,FALSE
"The system also centralizes and facilitates the query of information relevant to accidents, making all the documentation available electronically.",108,['system'],copel,FALSE
"Among them, videos involving the themes that make up the Golden Rule for safety (Grounding, absence of voltage test, signaling, use of the anti-fall set, cutting and pruning of trees and preventing the twisting of the structure).",109,['tree'],copel,FALSE
"The Copel Foundation was also active, continuing with its events and programs for active and retired employees, launching the application that provides telemedicine consultations and holding free online lectures.",111,['program'],copel,FALSE
"Through the Iluminando Geraes Program, whose original objective is to provide guidance on safety and the conscious use of electricity to the population, Copel DIS broadcast ten educational videos about Covid-19.",112,['program'],copel,FALSE
"As many institutions have been facing difficulties in maintaining support for the families served, Copel DIS used the Internal Socio-environmental Commissions and the Boa Vizinhana (Good Neighborhood) Program to collect food staples that include hygiene products and masks, which were donated to the families served by these institutions.",112,['program'],copel,FALSE
The Breastfeeding Room was a suggestion made in one of the voluntary meetings of the Chat with the President program.,113,['program'],copel,FALSE
"Thereby, it has the Healthy Pregnancy Program, in which the beneficiaries of the Copel Foundation, holders or dependents, enrolled in the program, receive information about the care they should take during pregnancy, exams that should be done every trimester and guidance on childbirth.",113,['program'],copel,FALSE
"The company, as a participant in the Empresa Cidad (Citizen Company) Program, also adopted the practice of extending paternity leave from five working days to 20 days, allowing the father to have more intense contact with the family in the first days of his childs life.",114,['program'],copel,FALSE
"Chemical Dependency Program Copel offers treatment to employees diagnosed with chemical dependency, through a program that focuses on the problem from the preventive and therapeutic aspects of health, social and functional, promoting actions to improve the health conditions, well-being and productivity of the employee.",115,['program'],copel,FALSE
"During the execution of the works, preferably as soon as they have started, the communities directly and indirectly affected by the construction of the projects are contacted through the Community Relationship Program, which includes guidance on topics related to safety and the environment, in addition to clarification of possible questions, establishing an additional communication channel between the entrepreneur and the community.",116,"['program', 'project']",copel,FALSE
"Copel Distribuios operations also impact the economic development of the regions: In the period of deployment of new projects such as networks and substations, as there is an increase in the circulation of vehicles in the region, outsourced employees drive the local economy mainly focused on the production of food and hotels.",116,['project'],copel,FALSE
"As a negative indirect economic impact, one can highlight the possibility of raising expectations in the region regarding the hiring of labor above the necessary for the execution of the works during the installation of the projects.",116,['project'],copel,FALSE
"There is a mutual cooperation between Copel and communities for the deployment of new projects, which involves the expectation of developing local services in a safe manner and with minimal negative impacts on the environment.",116,['project'],copel,FALSE
"Socio-environmental and relationship programs are implemented to mitigate these impacts, in addition to adopting technologies to replace underground networks, such as the compact protected grid, the isolated secondary grid, the isolated grid, the underground grid and sheltered substations.",116,['program'],copel,FALSE
"The main socio-environmental programs have indicators linked to the management commitments of the coordinating areas, periodically monitored by the top management at critical analysis meetings.",117,['program'],copel,FALSE
The Cultivar Energia Program (page 23) also played an important role in this period.,117,['program'],copel,FALSE
"Actions linked to social programs such as Boa Vizinhana (Good Neighborhood) and Cultivar Energia (Cultivate Energy), represent positive indirect economic impacts for the communities where they take place.",117,['program'],copel,FALSE
"Copel has concentrated efforts to carry out programs and projects that are in line with the global goals of the SDGs, especially in relation to SDGs 7, 8, 9, 11 and 13.",117,"['program', 'project']",copel,FALSE
"In medium voltage distribution lines, the use of a compact network is prioritized to reduce the need for tree pruning and location of layouts in areas devoid of vegetation.",117,['tree'],copel,FALSE
The aspects and impacts of its installation are assessed and socio-environmental programs necessary to mitigate the negative impacts and enhance the positive ones are proposed.,118,['program'],copel,FALSE
The identification and assessment of social and environmental aspects and impacts of operations are carried out through studies in the planning phase of new projects and inspections in the construction and operations of the Companys projects.,118,['project'],copel,FALSE
"Impacts on Communities The deployment of new projects throughout the Companys concession area and the presence of large administrative centers in the five regions of the State (Curitiba, Ponta Grossa, Londrina, Maring and Cascavel) can generate potential negative impacts.",118,['project'],copel,FALSE
"These significant impacts related during the project implementation phase are identified in environmental studies, such as the Simplified Environmental Reports SER.",118,['project'],copel,FALSE
"In the case of the licensing modality in which the licensing environmental agency requires the RAS, in order to mitigate the observed impacts, the programs provided for in the Detailed Environmental Programs Report RDPA are implemented, such as: Environmental Management Program of the Work, Plan of Civil Construction Waste Management, Forest Replacement Program, Preventive Archeology and Heritage Education Program, among others.",118,['program'],copel,FALSE
"Regarding the impacts caused by the companys administrative areas, Copel maintains the Boa Vizinhana Program to promote the engagement of communities surrounding Copel DIS administrative buildings, so that it is possible to assess their needs and expectations and, from there, develop practices aimed at local development.",119,['program'],copel,FALSE
"It establishes a dialogue with the workers of the projects, raising their awareness about environmental issues related to work, so that the performance of their activities minimally affects the surrounding environment in which they are inserted.",119,['project'],copel,FALSE
"In the process of deploying new projects, Copel makes contact with the communities directly affected, as well as with the work teams that work in the projects through the following programs: Community Relationship Program around the projects, which aims to facilitate communication between the entrepreneur and the surrounding population, through the dissemination of the benefits and restrictions arising from the project, seeking the transparency of official information and minimizing the mistrust and insecurity among the population.",119,"['program', 'project']",copel,FALSE
"In 2021, as many charities faced difficulties due to the pandemic, Copel used the Internal Socio-environmental Commissions and the Boa Vizinhana Program to collect food staples, in addition to hygiene products, which were donated to the assisted families.",119,['program'],copel,FALSE
"Environmental Awareness Program with construction workers (third parties) guides the workers involved with the installation of the work regarding the environmental conservation practices to be adopted during the exercise of activities for the execution of the works, disseminates knowledge about the impacts environment of the enterprise, and the ways to minimize them, and stimulates environmental notions and postures in the routine of each one.",119,"['program', 'conservation']",copel,TRUE
"Program for Relationship with Communities in the Boa Vizinhana Surroundings, which aims to promote the engagement of communities around Copel DIS facilities, so that it is possible to assess their needs and expectations and implement practices aimed at local development.",119,['program'],copel,FALSE
"In order to prevent these areas from being misused for waste disposal and even for invasions, Copel seeks to implement community gardens in partnership with municipal governments through the Cultivar Energia Program.",119,['program'],copel,FALSE
"Specifically for indigenous communities located in environmental conservation units or other areas where it is not possible to deploy the energy distribution grid, projects are developed that cover new energy connections, installation of photovoltaic panels, guidelines on the efficient use of electricity, in addition to the registration in the Electric Energy Social Tariff.",120,"['project', 'conservation']",copel,TRUE
"The Iluminando Geraes (Lightening Generations) Program provides guidance on the safe and efficient use of energy and natural resources in a playful and educational way for students from the municipal school system, companies, assisted in non-governmental social institutions and the community in general.",120,"['program', 'system']",copel,FALSE
